list_name,name,label::English (en),label::Arabic (ar),mantika,organisation,shape_code,media::image:: English (en),media::image:: Arabic (ar)
agriculture_production,no,No,áÇ,,,,,
yes_no_dk_dwta,yes,Yes,äÚã,,,,,
yes_no_dk_dwta,no,No,áÇ,,,,,
yes_no_dk_dwta,dk,Don't know,áÇ ÃÚáã,,,,,
yes_no_dk_dwta,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÇÌÇÈÉ,,,,,
agriculture_activities,crop_production_activity,1. Crop production,ÅäÊÇÌ ÇáãÍÇÕíá,,,,,
agriculture_activities,livestock_activity,2. Livestock production,ÅäÊÇÌ ÇáËÑæÉ ÇáÍíæÇäíÉ,,,,,
agriculture_activities,fishing_activity,3. Fishing/fisheries,ÇáÕíÏ / ãÕÇíÏ ÇáÃÓãÇß,,,,,
agriculture_activities,other,Other (specify),ÃÎÑì (íÑÌì ÇáÊÍÏíÏ),,,,,
year,year_2011,1. 2011,ÓäÉ 2011,,,,,
year,year_2012,2. 2012,ÓäÉ 2012,,,,,
year,year_2013,3. 2013,ÓäÉ 2013,,,,,
year,year_2014,4. 2014,ÓäÉ 2014,,,,,
year,year_2015,5. 2015,ÓäÉ 2015,,,,,
year,year_2016,6. 2016,ÓäÉ 2016,,,,,
year,year_2017,7. 2017,ÓäÉ 2017,,,,,
year,year_2018,8. 2018,ÓäÉ 2018,,,,,
year,year_2019,9. 2019,ÓäÉ 2019,,,,,
crop_production_challenges,unable_access_afford_land,1. Unable to access or afford land,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Åáì Ãæ ÏİÚ ÊßÇáíİ ÇáÃÑÇÖí,,,,,
crop_production_challenges,leave_land_displaced,2. Had to leave our land due to displacement,ÇÖØÑÑäÇ Åáì ãÛÇÏÑÉ ÃÑÖäÇ ÈÓÈÈ ÇáäÒæÍ,,,,,
crop_production_challenges,crops_seized_destroyed,3. Crops stolen/seized/destroyed,ÇáãÍÇÕíá ÓÑŞÊ / ÕæÏÑÊ / ÏãÑÊ,,,,,
crop_production_challenges,unable_access_afford_seeds,4. Unable to access or afford seeds,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÏİÚ ÊßÇáíİ ÇáÈĞæÑ,,,,,
crop_production_challenges,unable_access_afford_pesticides,5. Unable to access or afford fertilizers and pesticides,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÏİÚ ÊßÇáíİ ÇáÃÓãÏÉ æÇáãÈíÏÇÊ ÇáÍÔÑíÉ,,,,,
crop_production_challenges,unable_access_afford_water,6. Unable to access or afford clean water resources,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÏİÚ ÊßÇáíİ ãæÇÑÏ ãíÇå äÙíİÉ,,,,,
crop_production_challenges,unable_access_afford_fuel_tools,7. Unable to access or afford fuel/tools/machinery,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÏİÚ ÊßÇáíİ ÇáæŞæÏ / ÃÏæÇÊ / ÇáÂáÇÊ,,,,,
crop_production_challenges,pests_diseases,"8. Pests (rats, insects, birds, etc.) and diseases",ÇáÂİÇÊ (ÇáİÆÑÇä æÇáÍÔÑÇÊ æÇáØíæÑ æÛíÑåÇ) æÇáÃãÑÇÖ,,,,,
crop_production_challenges,unable_access_afford_labor,9. Unable to access or afford labor,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÏİÚ ÊßÇáíİ ÇáíÏ ÇáÚÇãáÉ,,,,,
crop_production_challenges,unable_access_markets_storage,"10. Unable to access markets, storage and processing facilities", ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Åáì ÇáÃÓæÇŞ¡ æãÑÇİŞ ÇáÊÎÒíä æÇáãÚÇáÌÉ,,,,,
crop_production_challenges,not_economically_viable,"11. Not economically viable (i.e., production costs too high compared to benefits)", áíÓÊ ŞÇÈáÉ ááÍíÇÉ ÇŞÊÕÇÏíğÇ (Úáì ÓÈíá ÇáãËÇá¡ ÊßÇáíİ ÇáÅäÊÇÌ ãÑÊİÚÉ ÌÏğÇ ãŞÇÑäÉ ÈÇáİæÇÆÏ),,,,,
crop_production_challenges,insecurity,12. Insecurity, ÇäÚÏÇã ÇáÃãä,,,,,
crop_production_challenges,power_cuts,13. Power cuts, ÇäŞØÇÚ ÇáÊíÇÑ ÇáßåÑÈÇÆí,,,,,
crop_production_challenges,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
livestock_production_challenges,animal_died,1. Animals have died,ãæÊ ÇáÍíæÇäÇÊ,,,,,
livestock_production_challenges,animal_diseases,2. Animals have been affected by diseases,ÊÃËÑÊ ÇáÍíæÇäÇÊ ÈÇáÃãÑÇÖ,,,,,
livestock_production_challenges,sell_slaughter_own_consumption,3. Have had to sell or slaughter animals for own consumption,ÇÖØÑÑÊ áÈíÚ Ãæ ĞÈÍ ÇáÍíæÇäÇÊ ááÇÓÊåáÇß ÇáÎÇÕ,,,,,
livestock_production_challenges,lack_access_fodder_pasture,4. Lack of access to fodder/animal feed/pasture,ÚÏã ÇáÍÕæá Úáì ÇáÚáİ / ÛĞÇÁ ÇáÍíæÇä / ÇáãÑÚì,,,,,
livestock_production_challenges,lack_access_water,5. Lack of access to water,ÚÏã ÇáÍÕæá Úáì ãíÇå äÙíİÉ,,,,,
livestock_production_challenges,lack_veterinary_services,"6. Lack of veterinary services, vaccines, and medicines",äŞÕ ÇáÎÏãÇÊ ÇáÈíØÑíÉ æÇááŞÇÍÇÊ æÇáÃÏæíÉ,,,,,
livestock_production_challenges,lack_labor,7. Lack of labor to care for animals ,ÚÏã æÌæÏ Şæì ÚÇãáÉ áÑÚÇíÉ ÇáÍíæÇäÇÊ,,,,,
livestock_production_challenges,animal_stolen,8. Animals have been stolen,ÓÑŞÊ ÇáÍíæÇäÇÊ,,,,,
livestock_production_challenges,other,Other (specify),ÛíÑåÇ (íÑÌì ÇáÊÍÏíÏ),,,,,
fishing_challenges,catches_decreased,1. Catches decreased,ÅäÎİÇÖ İí ßãíÇÊ ÇáãÕíÏ,,,,,
fishing_challenges,unable_access_markets_sell,2. Unable to access markets/sell production,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Åáì ÇáÃÓæÇŞ / ÈíÚ ÇáÅäÊÇÌ,,,,,
fishing_challenges,insecurity_increased,3. Insecurity increased,ÒíÇÏÉ ÇäÚÏÇã ÇáÃãä,,,,,
fishing_challenges,pollution_increased,4. Pollution increased,ÒíÇÏÉ ÇáÊáæË,,,,,
fishing_challenges,unable_access_afford_fuel,5. Unable to access or afford fuel,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Åáì Ãæ ÊÍãá ÇáæŞæÏ,,,,,
fishing_challenges,unable_access_afford_equipment,6. Unable to access or afford equipment,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÔÑÇÁ ÇáãÚÏÇÊ,,,,,
fishing_challenges,equipment_damaged_stolen,7. Equipment damaged or stolen,ÇáãÚÏÇÊ ÇáÊÇáİÉ Ãæ ÇáãÓÑæŞÉ,,,,,
fishing_challenges,unable_access_afford_labour,8. Unable to access or afford labour,ÛíÑ ŞÇÏÑ Úáì ÇáæÕæá Ãæ ÊÍãá ÇáíÏ ÇáÚÇãáÉ,,,,,
fishing_challenges,other,Other (specify),ÛíÑåÇ (íÑÌì ÇáÊÍÏíÏ),,,,,
types_crops,irrigated_wheat,1. Irrigated wheat,ÇáŞãÍ ÇáãÑæí,,,,,
types_crops,rainfed_wheat,2. Rainfed wheat,ÇáŞãÍ ÇáÈÚáí,,,,,
types_crops,barley,3. Barley,ÇáÔÚíÑ,,,,,
types_crops,maize,4. Maize,ÇáĞÑÉ,,,,,
types_crops,pulses,"5. Pulses (beans, chickpeas, nuts, etc.)",ÇáÈŞæáíÇÊ (Çáİæá¡ ÇáÍãÕ¡ ÇáãßÓÑÇÊ¡ ÅáÎ),,,,,
types_crops,potatoes_other_tubers,6. Potatoes or other tubers,ÇáÈØÇØÇ Ãæ ÇáÏÑäÇÊ ÇáÃÎÑì,,,,,
types_crops,tomatoes,7. Tomatoes,ÇáØãÇØã,,,,,
types_crops,cucumbers,8. Cucumbers,ÇáÎíÇÑ,,,,,
types_crops,peppers,9. Peppers,Çáİáİá,,,,,
types_crops,cauliflower,10. Cauliflower, ÇáŞÑäÈíØ,,,,,
types_crops,onions,11. Onions, ÇáÈÕá,,,,,
types_crops,leafy_greens,12. Leafy greens, ÇáÎÖÑ ÇáæÑŞíÉ,,,,,
types_crops,citrus_fruits,"13. Citrus fruits (lemons, oranges, etc.)", ËãÇÑ ÇáÍãÖíÇÊ (Çááíãæä¡ ÇáÈÑÊŞÇá¡ ÅáÎ),,,,,
types_crops,melons,14. Melons, ÇáÈØíÎ,,,,,
types_crops,dates,15. Dates,ÇáÊãæÑ,,,,,
types_crops,olives,16. Olives, ÒíÊæä,,,,,
types_crops,oil_seeds,17. Oil seeds, ÈĞæÑ ÇáÒíÊ,,,,,
types_crops,medicinal_aromatic_plants,18. Medicinal and aromatic plants, ÇáäÈÇÊÇÊ ÇáØÈíÉ æÇáÚØÑíÉ,,,,,
types_crops,fodder_crops,19. Fodder crops, ãÍÇÕíá ÇáÚáİ,,,,,
types_crops,cotton,20. Cotton, ÇáŞØä,,,,,
types_crops,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
obtaining_cash_challenge_reasons,lack_work_opportunity,1. Lack of work opportunity,ŞáÉ İÑÕ ÇáÚãá,,,,,
obtaining_cash_challenge_reasons,salary_too_low,2. Salary or wages too low,ÇáÑÇÊÈ Ãæ ÇáÃÌæÑ ãäÎİÖÉ ÌÏÇ,,,,,
obtaining_cash_challenge_reasons,salary_not_regularly_paid,3. Salary or wages not regularly paid,ÇáÑÇÊÈ Ãæ ÇáÃÌæÑ áÇ ÊÏİÚ ÈÇäÊÙÇã,,,,,
obtaining_cash_challenge_reasons,unable_withdraw_frombanks,4. Unable to withdraw enough money from bank account,ÛíÑ ŞÇÏÑ Úáì ÓÍÈ ãÇ íßİí ãä ÇáãÇá ãä ÇáÍÓÇÈ ÇáãÕÑİí,,,,,
obtaining_cash_challenge_reasons,no_functioning_banks,5. No currently functioning banks/financial institutions in my area,áÇ ÊæÌÏ ÍÇáíÇ Èäæß / ãÄÓÓÇÊ ãÇáíÉ ÚÇãáÉ İí ãäØŞÊí,,,,,
obtaining_cash_challenge_reasons,other,Other (specify),ÛíÑåÇ (íÑÌì ÇáÊÍÏíÏ),,,,,
obtaining_cash_challenge_reasons,dk,Don't know,áÇ ÃÚÑİ,,,,,
obtaining_cash_challenge_reasons,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
bank_withdrawal,yes,Yes,äÚã ,,,,,
bank_withdrawal,unable_withdraw_money,"2. No, unable to withdraw any money",áÇ ¡ ÛíÑ ŞÇÏÑ Úáì ÓÍÈ Ãí ÃãæÇá,,,,,
bank_withdrawal,didnot_attempt_withdraw_money,3. Did not attempt to withdraw any money,áã íÍÇæá ÓÍÈ Ãí ÃãæÇá,,,,,
bank_withdrawal,dont_have_bank_account,4. Do not have a bank account,áíÓ áÏí ÍÓÇÈ ÔÎÕí,,,,,
bank_withdrawal,dk,Don't know,áÇ ÃÚÑİ,,,,,
bank_withdrawal,dwta,Prefer not to answer,íİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
lasttime_able_withdraw_money,1_2_months_ago,1. 1-2 months ago,ãäĞ 1-2 ÃÔåÑ,,,,,
lasttime_able_withdraw_money,2_3_months_ago,2. 2-3 months ago,ãäĞ 2-3 ÃÔåÑ,,,,,
lasttime_able_withdraw_money,3_6_months_ago,3. 3-6 months ago,ãäĞ 3-6 ÃÔåÑ,,,,,
lasttime_able_withdraw_money,more_6months_ago,4. More than 6 months ago,ãäĞ ÃßËÑ ãä 6 ÃÔåÑ,,,,,
lasttime_able_withdraw_money,dk,Don't know,áÇ ÃÚÑİ,,,,,
lasttime_able_withdraw_money,dwta,Prefer not to answer,ÊİÖá ÚÏã ÇáÅÌÇÈÉ ,,,,,
hh_debt_primary_reason,accessing_food,1. Accessing food,ÇáæÕæá Åáì ÇáÛĞÇÁ,,,,,
hh_debt_primary_reason,paying_healthcare,2. Paying for healthcare,ÏİÚ ÊßÇáíİ ÇáÑÚÇíÉ ÇáÕÍíÉ,,,,,
hh_debt_primary_reason,paying_education,3. Paying for education,ÏİÚ Ëãä ÇáÊÚáíã,,,,,
hh_debt_primary_reason,paying_rent,4. Paying for rent,ÏİÚ ÇáÅíÌÇÑ,,,,,
hh_debt_primary_reason,paying_shelter_maintenance,5. Paying for shelter maintenance,ÏİÚ áÕíÇäÉ ÇáãÃæì,,,,,
hh_debt_primary_reason,paying_other_basic_needs,6. Paying for other basic needs,ÏİÚ ÇáÇÍÊíÇÌÇÊ ÇáÃÓÇÓíÉ ÇáÃÎÑì,,,,,
hh_debt_primary_reason,purchasing_productive_assets,7. Purchasing productive assets (for small business or income-generating activities),ÔÑÇÁ ÇáÃÕæá ÇáÅäÊÇÌíÉ (ááÃÚãÇá ÇáÊÌÇÑíÉ ÇáÕÛíÑÉ Ãæ ÇáÃäÔØÉ ÇáãÏÑÉ ááÏÎá),,,,,
hh_debt_primary_reason,purchasing_nonproductive_assets,8. Purchasing non-productive assets,ÔÑÇÁ ÇáÃÕæá ÛíÑ ÇáãäÊÌÉ,,,,,
hh_debt_primary_reason,paying_bride_price,9. Paying dowry/bride price,ÏİÚ ÇáãåÑ,,,,,
hh_debt_primary_reason,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
hh_debt_primary_reason,dk,Don't know, áÇ ÃÚÑİ,,,,,
hh_debt_primary_reason,dwta,Prefer not to answer, áÇ ÃİÖá ÇáÇÌÇÈÉ,,,,,
hh_payment_modality,cash_lyd_modality,1. Cash (LYD),äŞÏÇ  (ÇáÏíäÇÑ ÇááíÈí),,,,,
hh_payment_modality,cash_non_lyd_modality,2. Cash (foreign/non-LYD),äŞÏÇ ÚãáÉ ÇÌäÈíÉ  /  ÛíÑ ÇáÏíäÇÑ ÇááíÈí),,,,,
hh_payment_modality,credit_debit_card_modality,3. Credit or debit card,ÈØÇŞÉ ÇáÇÆÊãÇä Ãæ ÇáÎÕã,,,,,
hh_payment_modality,prepaid_gift_card_modality,4. Prepaid or gift card,ÈØÇŞÉ ãÓÈŞÉ ÇáÏİÚ,,,,,
hh_payment_modality,vouchers_modality,5. Vouchers,ÇáŞÓÇÆã ÇáÔÑÇÆíÉ ,,,,,
hh_payment_modality,cheques_modality,6. Cheques ,ÇáÔíßÇÊ,,,,,
hh_payment_modality,bank_transfers_modality,7. Bank transfers,ÇáÊÍæíáÇÊ ÇáãÕÑİíÉ,,,,,
hh_payment_modality,mobile_money_modality,8. Mobile money,ÇáÏİÚ ÈæÇÓØÉ  ÇáåÇÊİ ÇáÌæÇá ,,,,,
hh_payment_modality,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
travel_to_market,less_15min,1. Less than 15 minutes,ÃŞá ãä 15 ÏŞíŞÉ,,,,,
travel_to_market,between_15_29min,2. 15-29 minutes,15 Åáì 29 ÏŞíŞÉ,,,,,
travel_to_market,between_30_59min,3. 30-59 minutes,30 Åáì 59 ÏŞíŞÉ,,,,,
travel_to_market,between_1_2hours,4. 1-2 hours,ãä ÓÇÚÉ Åáì ÓÇÚÊíä,,,,,
travel_to_market,more_2hours,5. More than 2 hours,ÃßËÑ ãä ÓÇÚÊíä,,,,,
travel_to_market,dk,Don't know,áÇ ÃÚÑİ,,,,,
travel_to_market,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
barriers_access_market,no_barriers_access_market,1. No barriers faced when accessing marketplace,áÇ ÊæÌÏ ÚæÇÆŞ ÊæÇÌå ÚäÏ ÇáæÕæá Åáì ÇáÓæŞ,,,,,
barriers_access_market,too_far_market,2. Live too far from marketplace / no means of transport,ÇáÚíÔ ÈÚíÏğÇ Úä ÇáÓæŞ / áÇ ÊæÌÏ æÓÇÆá äŞá,,,,,
barriers_access_market,transportation_too_expensive,3. Transportation too expensive,ÇáäŞá ãßáİ ááÛÇíÉ,,,,,
barriers_access_market,damage_marketplace,4. Damage to marketplace,ÃÖÑÇÑ  áÍŞÊ ÇáÓæŞ,,,,,
barriers_access_market,damahe_roads_tomarket,5. Damage to roads leading to marketplace,ÃÖÑÇÑ  áÍŞÊ ÈÇáØÑŞ ÇáãÄÏíÉ Åáì ÇáÓæŞ,,,,,
barriers_access_market,insecurity_travel_market,6. Insecurity travelling to and from marketplace,ÇäÚÏÇã ÇáÃãä ÚäÏ ÇáÓİÑ ãä æÅáì ÇáÓæŞ,,,,,
barriers_access_market,curfew_prevented_market,7. Curfew prevented access to market, ÍÖÑ ÇáÊÌæá ãäÚ ÇáæÕæá Åáì ÇáÓæŞ,,,,,
barriers_access_market,inconvinient_opening_hours,8. Marketplace never open at a time when we can visit,áÇ íİÊÍ ÇáÓæŞ ãØáŞğÇ İí æŞÊ íãßääÇ İíå ÇáÒíÇÑÉ,,,,,
barriers_access_market,presence_hazards,9. Presence of explosive hazards,æÌæÏ ãÎÇØÑ ÇáãÊİÌÑÇÊ,,,,,
barriers_access_market,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
barriers_access_market,dk,Don't know, áÇ ÃÚÑİ,,,,,
barriers_access_market,dwta,Prefer not to answer, áÇ ÃİÖá ÇáÇÌÇÈÉ,,,,,
barriers_purchasing_items,no_barriers_purchasing_items,"1. No, no barrier faced when purchasing market items",áÇ¡ áÇ íæÇÌå Ãí ÍÇÌÒ ÚäÏ ÔÑÇÁ ÓáÚ ÇáÓæŞ,,,,,
barriers_purchasing_items,yes_items_too_expensive,"2. Yes, some items are too expensive",äÚã¡ ÈÚÖ ÇáãæÇÏ ÛÇáíÉ ÌÏÇ,,,,,
barriers_purchasing_items,yes_items_not_available,"3. Yes, some items are not available",äÚã¡ ÈÚÖ ÇáãæÇÏ ÛíÑ ãÊæİÑÉ,,,,,
barriers_purchasing_items,yes_no_means_of_payments,"4. Yes, we have no means of payment (e.g., not enough hard cash, vendors do not accept prepaid cards)",äÚã¡ áíÓÊ áÏíäÇ æÓÇÆá ááÏİÚ (Úáì ÓÈíá ÇáãËÇá¡ áÇ ÊæÌÏ ÃãæÇá äŞÏíÉ ßÇİíÉ¡ áÇ íŞÈá ÇáÈÇÆÚæä ÇáÈØÇŞÇÊ ÇáãÏİæÚÉ ãŞÏãğÇ),,,,,
barriers_purchasing_items,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
barriers_purchasing_items,dk,Don't know,áÇ ÃÚÑİ,,,,,
barriers_purchasing_items,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
expensive_unavailable_items_to_afford,fresh_vegetables_fruits,1. Food items: fresh vegetables/fruits,ÇáãæÇÏ ÇáÛĞÇÆíÉ: ÇáÎÖÑæÇÊ ÇáØÇÒÌÉ / ÇáİæÇßå,,,,,
expensive_unavailable_items_to_afford,fresh_fish_meat_eggs,2. Food items: fresh fish/meat/eggs,ÇáãæÇÏ ÇáÛĞÇÆíÉ: ÇáÃÓãÇß ÇáØÇÒÌÉ / ÇááÍæã / ÇáÈíÖ,,,,,
expensive_unavailable_items_to_afford,other_food_items,3. Food items: other,ÇáãæÇÏ ÇáÛĞÇÆíÉ: ÃÎÑì,,,,,
expensive_unavailable_items_to_afford,hygiene_items_woman,4. NFIs: Hygiene items for women,ÇáãæÇÏ ÛíÑ ÇáÛĞÇÆíÉ: ãÓÊáÒãÇÊ ÇáäÙÇİÉ ááäÓÇÁ,,,,,
expensive_unavailable_items_to_afford,hygiene_items_man,5. NFIs: Hygiene items for men,ÇáãæÇÏ ÛíÑ ÇáÛĞÇÆíÉ: ãÓÊáÒãÇÊ ÇáäÙÇİÉ ááÑÌÇá,,,,,
expensive_unavailable_items_to_afford,hh_items,6. NFIs: Household items,ÇáãæÇÏ ÛíÑ ÇáÛĞÇÆíÉ: ÇáÃÏæÇÊ ÇáãäÒáíÉ,,,,,
expensive_unavailable_items_to_afford,nfi_fuel,7. NFIs: Fuel,ÇáãæÇÏ ÛíÑ ÇáÛĞÇÆíÉ: ÇáæŞæÏ,,,,,
expensive_unavailable_items_to_afford,water,8. Water,ÇáãÇÁ,,,,,
expensive_unavailable_items_to_afford,medecine_health_related_items,9. Medicine or health-related items,ÇáØÈ Ãæ ÇáÈäæÏ ĞÇÊ ÇáÕáÉ ÈÇáÕÍÉ,,,,,
expensive_unavailable_items_to_afford,other,Other (specify), ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
financial_service_providers,banks,1. Banks,ÇáÈäæß,,,,,
financial_service_providers,hawala,2. Hawala,ÇáÍæÇáÉ,,,,,
financial_service_providers,local_business_financial_service_provider,"3. Financial services provided by local businesses (e.g., petrol stations)",ÇáÎÏãÇÊ ÇáãÇáíÉ ÇáÊí ÊŞÏãåÇ ÇáÔÑßÇÊ ÇáãÍáíÉ (ãËá ãÍØÇÊ ÇáÈäÒíä¡ ÈÚÖ ÇáãÍáÇÊ¡ ÇáÎ),,,,,
financial_service_providers,member_community_financial_service_provider,4. Financial services provided by members of the community,ÇáÎÏãÇÊ ÇáãÇáíÉ ÇáÊí íŞÏãåÇ ÃİÑÇÏ ÇáãÌÊãÚ,,,,,
financial_service_providers,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
financial_service_providers,dk,Don't know,áÇ ÃÚÑİ,,,,,
financial_service_providers,dwta,Prefer not to answer,ÃİÖá ÚÏã ÇáÅÌÇÈÉ,,,,,
cash_coping,coping_strategy_not_available_tome,Not applicable/This coping strategy is not available to me,ÛíÑ ŞÇÈá ááÊØÈíŞ / ÅÓÊÑÇÊíÌíÉ ÇáÊÃŞáã åĞå ÛíÑ ãÊÇÍÉ áí,,,,,
cash_coping,yes,Yes,äÚã,,,,,
cash_coping,noneed_to_use_this_coping_strategy,"No, had no need to use this coping strategy",áÇ ¡ áã Êßä ÈÍÇÌÉ Åáì ÇÓÊÎÏÇã ÇÓÊÑÇÊíÌíÉ ÇáÊÃŞáã åĞå,,,,,
cash_coping,already_exhausted_this_coping_strategy,"No, have already exhausted this coping strategy and cannot use it again",áÇ¡ áŞÏ ÇÓÊäİÏÊ ÈÇáİÚá ÇÓÊÑÇÊíÌíÉ ÇáÊÃŞáã åĞå æáÇ íãßä ÇÓÊÎÏÇãåÇ ãÑÉ ÃÎÑì,,,,,
using_cash_coping_mechanism_reasons,cash_coping_to_access_food,1. Accessing food,ÇáæÕæá Åáì ÇáÛĞÇÁ,,,,,
using_cash_coping_mechanism_reasons,cash_coping_to_pay_healthcare,2. Paying for healthcare,ÏİÚ ãŞÇÈá ÇáÑÚÇíÉ ÇáÕÍíÉ,,,,,
using_cash_coping_mechanism_reasons,cash_coping_to_pay_education,3. Paying for education,ÏİÚ ãŞÇÈá ÇáÊÚáíã,,,,,
using_cash_coping_mechanism_reasons,cash_coping_to_pay_shelter,4. Paying for shelter,ÏİÚ Ëãä ÇáãÓßä,,,,,
using_cash_coping_mechanism_reasons,cash_coping_to_pay_other_basics,5. Paying for other basic needs,ÏİÚ ãŞÇÈá ÇáÇÍÊíÇÌÇÊ ÇáÃÓÇÓíÉ ÇáÃÎÑì,,,,,
using_cash_coping_mechanism_reasons,other,Other (specify),ÛíÑ Ğáß (íÑÌì ÇáÊÍÏíÏ),,,,,
shelter_type,apartment,1. Apartment,ÔŞÉ,,,,,
shelter_type,house,2. House,ÈíÊ,,,,,
shelter_type,unfinished_rooms,3. Unfinished room(s),ÛÑİÉ (ÛÑİ) ÛíÑ ãßÊãáÉ,,,,,
shelter_type,public_building_not_used_for_shelter,"4. Public building not usually used for shelter (school, mosque, etc.)",ÇáÃãÇßä ÇáÚÇãÉ ÇáÊí áÇ ÊÓÊÎÏã ÚÇÏÉ ááãÃæì (ÇáãÏÑÓÉ¡ ÇáãÓÌÏ¡ ÅáÎ),,,,,
shelter_type,private_building_not_used_for_shelter,"5. Private building not usually used for shelter (basement, garage, store, warehouse, work site, etc.)",ÇáÃãÇßä ÇáÎÇÕÉ ÇáÊí áÇ ÊÓÊÎÏã ÚÇÏÉ ááãÃæì (ÇáŞÈæ¡ ÇáãÑÂÈ¡ ãÊÌÑ¡ ãÓÊæÏÚ¡ ãæŞÚ ÇáÚãá¡ ÇáÎ),,,,,
shelter_type,tent_caravan,6. Tent or caravan,ÎíãÉ Ãæ ãäÒá ãÊäŞá (ßÇÑÇİÇä),,,,,
shelter_type,temporary_shelter_ngos,7. Temporary shelter provided by INGO or local NGO,ãÃæì ãÄŞÊ ãŞÏã ãä ãäÙãÉ ÛíÑ ÍßæãíÉ ÏæáíÉ Ãæ ãÍáíÉ,,,,,
shelter_type,connection_house,8. Connection house,ãáÍŞ ÎÇÕ ÈÇáãäÒá,,,,,
