type,name,label::English (en),required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count,parameters
begin_group,consented,consented,yes,,${consent} = 'yes',,,,ÇáãæÇİŞÉ ,,,,,,,
select_one yes_no,hoh,Is the interviewee the head of household? ,yes,,,quick,,,åá ÇáÔÎÕ ÇáãÓÊÌæÈ åæ ÑÈ ÇáÇÓÑÉ¿,,,,"A ""household"" is a group of people who live under the same roof and who share food and other key resources. The ""head of household"" is the senior decision-maker in the household",ÇáÃÓÑÉ åí ãÌãæÚÉ ãä ÇáÃÔÎÇÕ ÇáĞíä íÚíÔæä ÊÍÊ äİÓ ÇáÓŞİ æÇáĞíä íÊÔÇÑßæä İí ÇáÛĞÇÁ æÇáãæÇÑÏ ÇáÑÆíÓíÉ ÇáÃÎÑì . ÑÈ ÇáÃÓÑÉ åæ ÕÇÍÈ ÇáŞÑÇÑ ÇáÑÆíÓí İí ÇáÃÓÑÉ,,
select_one yes_no,not_hoh_ability_toanswer,Are you willing and able to respond to the questions on behalf of the household?,yes,,${hoh} = 'no',quick,,,åá ÃäÊ ãÓÊÚÏ æŞÇÏÑ Úáì ÇáÅÌÇÈÉ Úáì ÇáÃÓÆáÉ äíÇÈÉ Úä ÇáÃÓÑÉ¿,,,,,,,
begin_group,not_hoh_able_toanswer, willing and able to respond to the questions on behalf of the household,yes,,${not_hoh_ability_toanswer} = 'yes' or ${hoh} = 'yes',,,,Úáì ÇÓÊÚÏÇÏ æŞÇÏÑ Úáì ÇáÅÌÇÈÉ Úáì ÇáÃÓÆáÉ äíÇÈÉ Úä ÇáÃÓÑÉ,,,,,,,
note,bio_metadata_section,Bio/Meta Data,,,,,,,ãÚáæãÇÊ ÔÎÕíÉ,,,,,,,
begin_group,bio_meta_data,Bio/Meta Data,yes,,,,,,ãÚáæãÇÊ ÔÎÕíÉ,,,,,,,
integer,age_hoh,How old is the head of the household?,yes,,,,.>=12,It's unlikely that any HoH would be younger than 12,ãÇ åæ ÚãÑ ÑÈ ÇáÃÓÑÉ¿,ãä ÛíÑ ÇáãÍÊãá Ãä íßæä Ãí ÑÈ ÇáÈíÊ ÃŞá ãä 12 ÚÇãğÇ,,,,,,
select_one male_female,sex_hoh,What is the sex of the head of household?,yes,,,quick,,,ãÇ åæ ÌäÓ ÑÈ ÇáÃÓÑÉ¿,,,,,,,
select_one yes_no,same_baladiya_prior_2011,Was your household living in this baladiya prior to 2011?,yes,,,quick,,,åá ßÇäÊ ÚÇÆáÊß ÊÚíÔ İí åĞå ÇáÈáÏíÉ ŞÈá 2011¿,,,,,,,
select_one yes_no,displaced_since_2011,Has your household been displaced from this baladiya since 2011 as a result of the conflict?,yes,,${same_baladiya_prior_2011} = 'yes',quick,,,åá äÒÍÊ ÃÓÑÊß ãä åĞå ÇáÈáÏíÉ ãäĞ 2011 äÊíÌÉ ááäÒÇÚ¿,,,,,,,
select_one yes_no,displaced_baladiya_origin,Has your household been displaced from your baladiya of origin because of the conflict?,yes,,${same_baladiya_prior_2011} = 'no',quick,,,åá äÒÍÊ ÃÓÑÊß ãä ÈáÏÊß ÇáÃÕáíÉ ÈÓÈÈ ÇáäÒÇÚ¿,,,,,,,
select_one displacement_status,displacement_status,Displacement_status,yes,,,,,,,,,"if((${same_baladiya_prior_2011}='yes' and ${displaced_since_2011}='yes'),""returnee"",if((${same_baladiya_prior_2011}='no' and ${displaced_baladiya_origin}='yes'),""idp"",if(((${same_baladiya_prior_2011}='yes' and ${displaced_since_2011}='no') or(${same_baladiya_prior_2011}='no' and ${displaced_baladiya_origin}='no')),""non_displaced"","""")))",,,,
note,displacement_status_note,This household is a ${displacement_status} household. ,,,,,,,åĞå ÇáÇÓÑÉ ÊäÊãí Åáì åĞå ãÌãæÚÉ ÇáÓßÇäíÉ ${displacement_status},,,,,,,
integer,size_hh,How many people live in your household (including the interviewee)?,yes,,,,"if(selected(${hoh},'no'), . >= 2, .>=1)","The minimum size of a household is 1 person, if the interviewee is not the HoH then the minimum size is 2 persons","ßã ÚÏÏ ÃİÑÇÏ ÃÓÑÊß ÇáĞíä íÚíÔæä ãÚß İí ãäÒáß (ÈãÇ İí Ğáß ÇáãõÓÊÌæÈ)¿
",ÇáÍÏ ÇáÃÏäì áÍÌã ÇáÃÓÑÉ åæ ÔÎÕ æÇÍÏ ¡ ÅĞÇ áã íßä ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå åæ ÑÈ ÇáÈíÊ İÅä ÇáÍÏ ÇáÃÏäì áÍÌã ÇáÇÓÑÉ åæ ÔÎÕÇä,,,,,,
begin_group,hh_roster_male,Please tell me how many males there are of the following in your household ?,yes,,,field-list,,,ßã ÚÏÏ ÇáĞßæÑ İí ãÇ íáí İí ÃÓÑÊß ÈãÇ İí Ğáß ÇáÔÎÕ ÇáĞí ÊãÊ ãŞÇÈáÊå,,,,,,,
integer,nb_infants_male,Infants 0-5years: (male),yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÑÖÚ (0 - 5 ÓäæÇÊ) ĞßæÑ,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,
integer,nb_children_male,Children 6-14 years: (male),yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÃØİÇá (6-14 ÓäÉ) ĞßæÑ,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,
integer,nb_youth_male,Youth 15-17 years: (male),yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÔÈÇÈ (15-17 ÓäÉ) ĞßæÑ,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,
integer,nb_adults_male,Adults 18-64: (male),yes,,,,"if((${age_hoh}<65 and ${age_hoh}>18 and selected(${sex_hoh} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a male adult",ÇáßÈÇÑ (18 - 64 ÓäÉ) ĞßæÑ,áÇ íãßä Ãä íßæä ÕİÑÇ ¡ ÑÈ ÇáÃÓÑÉ åæ ĞßÑ ÈÇáÛ,,,,,,
integer,nb_elderly_male,Elderly 65+ years: (male),yes,,,,"if((${age_hoh}>=65 and selected(${sex_hoh} ,'male')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a male elderly",ßÈÇÑ ÇáÓä (65+ ÓäÉ)  ĞßæÑ,áÇ íãßä Ãä íßæä ÇáÕİÑ ¡ ÑÈ ÇáÃÓÑÉ åæ ĞßÑ ãä ßÈÇÑ ÇáÓä,,,,,,
end_group,,,,,,,,,,,,,,,,
calculate,nb_male,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male}+${nb_adults_male}+${nb_elderly_male},,,,
calculate,under18_male,,,,,,,,,,,${nb_infants_male}+${nb_children_male}+${nb_youth_male},,,,
calculate,over18_male,,,,,,,,,,,${nb_adults_male}+${nb_elderly_male},,,,
calculate,school_aged_boys,,,,,,,,,,,${nb_children_male}+${nb_youth_male},,,,
begin_group,hh_roster_female,Please tell me how many female there are of the following in your household ?,yes,,,field-list,,,ÃÑÌæ Ãä ÊÎÈÑäí ßã ÚÏÏ ãÇ íáí ãä ÇáÇäÇË İí ÃÓÑÊß¿,,,,,,,
integer,nb_infants_female,Infants 0-5years: (female),yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÑÖÚ (0 - 5 ÓäæÇÊ) ÇäÇË,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,
integer,nb_children_female,Children 6-14 years: (female),yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÃØİÇá (6-14 ÓäÉ) ÇäÇË,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,
integer,nb_youth_female,Youth 15-17 years: (female),yes,,,,.>=0 and .<20,Value must be between 0 and 20,ÇáÔÈÇÈ (15-17 ÓäÉ) ÇäÇË,"íÌÈ Ãä íßæä ÇáÚÏÏ Èíä 0 æ 20
",,,,,,
integer,nb_adults_female,Adults 18-64: (female),yes,,,,"if((${age_hoh}<65 and ${age_hoh}>18 and selected(${sex_hoh} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a female adult",ÇáßÈÇÑ (18 - 64 ÓäÉ) ÇäÇË,áÇ íãßä Ãä íßæä ÕİÑÇ ¡ ÑÈÉ ÇáÃÓÑÉ åí ÃäËì ÈÇáÛÉ,,,,,,
integer,nb_elderly_female,Elderly 65+ years: (female),yes,,,,"if((${age_hoh}>=65 and selected(${sex_hoh} ,'female')),  .>0, (.>=0 and .<20))","Can't be zero, the head of household is a female elderly",ßÈÇÑ ÇáÓä (65+ ÓäÉ ) ÇäÇË,áÇ íãßä Ãä íßæä ÇáÕİÑ ¡ ÑÈÉ ÇáÃÓÑÉ åí ÃäËì ãä ßÈÇÑ ÇáÓä,,,,,,
end_group,,,,,,,,,,,,,,,,
calculate,nb_female,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female}+${nb_adults_female}+${nb_elderly_female},,,,
calculate,under18_female,,,,,,,,,,,${nb_infants_female}+${nb_children_female}+${nb_youth_female},,,,
calculate,over18_female,,,,,,,,,,,${nb_adults_female}+${nb_elderly_female},,,,
calculate,nb_ind_hh,,,,,,,,,,,${nb_female} + ${nb_male},,,,
calculate,nb_under18,,,,,,,,,,,${under18_female} + ${under18_male},,,,
calculate,nb_over18,,,,,,,,,,,${over18_female} + ${over18_male},,,,
calculate,school_aged_girls,,,,,,,,,,,${nb_children_female}+${nb_youth_female},,,,
note,error,The total number of male and female mentionned above does not equal to the size of your household,yes,,${nb_ind_hh}!=${size_hh},,,,ÅÌãÇáí ÚÏÏ ÇáĞßæÑ æÇáÅäÇË ÇáãĞßæÑÉ ÃÚáÇå áÇ íÓÇæí ÍÌã ÃÓÑÊß,,,,,,,
select_one yes_no,hosting_displaced,Is your household currently hosting any individuals that have been displaced from another baladiya?,yes,,,quick,,,åá ÊÓÊÖíİ ÃÓÑÊß ÍÇáíğÇ Ãí ÃİÑÇÏ äÒÍæÇ ãä ÈáÏíÉ ÃÎÑì¿,,,,,,,
integer,nb_displaced_hosted,How many? ,yes,,${hosting_displaced}='yes',,.>=1,Should be strictly positive,ßã ÚÏÏåã¿,íÌÈ Ãä íßæä ÇáÚÏÏ ÅíÌÇÈí¡ ãÎÇáİ ááÕİÑ,,,,,,
integer,nb_minordisplaced_hosted,How many of these hosted persons are under 18?,yes,,${hosting_displaced}='yes',,.<= ${nb_displaced_hosted},Should be less or equal to the number of hosted people,ßã ÚÏÏ ÇáÇÔÎÇÕ ÇáãÓÊÖÇİæä ÊÍÊ Óä 18¿,,,,,,,
begin_group,seperated_children_group,How many persons under 18 is your household hosting that are separated from their normal care-givers but are accompanied by other family members?,yes,,${nb_minordisplaced_hosted}>0,,,,ßã ÚÏÏ ÇáÃÔÎÇÕ ÇáĞíä ÊŞá ÃÚãÇÑåã Úä 18 ÚÇãğÇ æÇáĞíä ÊÓÊÖíİåã ÃÓÑÊß ãäİÕáæä Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä æ ÇáĞíä íÕÍÈåã ÃİÑÇÏ ÃÓÑÉ ÂÎÑæä¿,,,,,,,
integer,seperated_children_male_infants,1. Male infants (aged 0-5 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÑÖÚ ÇáĞßæÑ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 0-5 ÓäæÇÊ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"The important point here is whether the child has been separated from his/her normal care-givers. If they are with other family members, they should be counted", ÇáäŞØÉ ÇáãåãÉ åäÇ åí ãÇ ÅĞÇ ßÇä ÇáØİá ŞÏ ÇäİÕá Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä. ÅĞÇ ßÇäæÇ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáÂÎÑíä ¡ İíÌÈ ÍÓÇÈåã,,
integer,seperated_children_male_children,2. Male children (aged 6-14 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÃØİÇá ÇáĞßæÑ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 6-14 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"The important point here is whether the child has been separated from his/her normal care-givers. If they are with other family members, they should be counted", ÇáäŞØÉ ÇáãåãÉ åäÇ åí ãÇ ÅĞÇ ßÇä ÇáØİá ŞÏ ÇäİÕá Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä. ÅĞÇ ßÇäæÇ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáÂÎÑíä ¡ İíÌÈ ÍÓÇÈåã,,
integer,seperated_children_male_youths,3. Male youths (aged 15-17 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÔÈÇÈ ÇáĞßæÑ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 15 æ 17 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"The important point here is whether the child has been separated from his/her normal care-givers. If they are with other family members, they should be counted", ÇáäŞØÉ ÇáãåãÉ åäÇ åí ãÇ ÅĞÇ ßÇä ÇáØİá ŞÏ ÇäİÕá Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä. ÅĞÇ ßÇäæÇ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáÂÎÑíä ¡ İíÌÈ ÍÓÇÈåã,,
integer,seperated_children_female_infants,4. Female infants (aged 0-5 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÅäÇË ÇáÑÖÚ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 0-5 ÓäæÇÊ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"The important point here is whether the child has been separated from his/her normal care-givers. If they are with other family members, they should be counted", ÇáäŞØÉ ÇáãåãÉ åäÇ åí ãÇ ÅĞÇ ßÇä ÇáØİá ŞÏ ÇäİÕá Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä. ÅĞÇ ßÇäæÇ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáÂÎÑíä ¡ İíÌÈ ÍÓÇÈåã,,
integer,seperated_children_female_children,5. Female children (aged 6-14 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ØİáÉ (ÊÊÑÇæÍ ÃÚãÇÑåä Èíä 6 æ 14 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"The important point here is whether the child has been separated from his/her normal care-givers. If they are with other family members, they should be counted", ÇáäŞØÉ ÇáãåãÉ åäÇ åí ãÇ ÅĞÇ ßÇä ÇáØİá ŞÏ ÇäİÕá Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä. ÅĞÇ ßÇäæÇ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáÂÎÑíä ¡ İíÌÈ ÍÓÇÈåã,,
integer,seperated_children_female_youths,6. Female youths (aged 15-17 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÔÇÈÇÊ (ÊÊÑÇæÍ ÃÚãÇÑåä Èíä 15 æ 17 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"The important point here is whether the child has been separated from his/her normal care-givers. If they are with other family members, they should be counted", ÇáäŞØÉ ÇáãåãÉ åäÇ åí ãÇ ÅĞÇ ßÇä ÇáØİá ŞÏ ÇäİÕá Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä. ÅĞÇ ßÇäæÇ ãÚ ÃİÑÇÏ ÇáÃÓÑÉ ÇáÂÎÑíä ¡ İíÌÈ ÍÓÇÈåã,,
end_group,,,,,,,,,,,,,,,,
calculate,seperated_children_calc,,,,,,,,,,,${seperated_children_male_infants}+${seperated_children_male_children}+${seperated_children_male_youths}+${seperated_children_female_infants}+${seperated_children_female_children}+${seperated_children_female_youths},,,,
note,seperated_children_err,the number of seperated children is greater than the minors hosted,yes,,${seperated_children_calc}>${nb_minordisplaced_hosted},,,,"ÚÏÏ ÇáÃØİÇá ÇáãäİÕáíä ÃßÈÑ ãä ÇáŞÇÕÑíä ÇáãÓÊÖÇİíä
",,,,,,,
begin_group,unaccompanied_children_group,How many persons under 18 in your household have been separated from their normal care-givers and are also not accompanied by any family members?,yes,,${nb_minordisplaced_hosted}>0,,,,ßã ÚÏÏ ÇáÃÔÎÇÕ ÇáĞíä ÊŞá ÃÚãÇÑåã Úä 18 ÚÇãğÇ İí ÃÓÑÊß ÇáĞíä ÇäİÕáæÇ Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä æáã íÕÍÈåã Ãí İÑÏ ãä ÃİÑÇÏ ÇáÃÓÑÉ¿ ,,,,,,,
integer,unaccompanied_children_male_infants,1. Male infants (aged 0-5 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÑÖÚ ÇáĞßæÑ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 0-5 ÓäæÇÊ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"If a child has been counted under the section above, they should not be counted here",ÅĞÇ Êã ÇÍÊÓÇÈ ÇáØİá ÊÍÊ ÇáÇÓÆáÉ ÇáÓÇÈŞÉ ¡ İáÇ íÌÈ ÇÍÊÓÇÈå åäÇ,,
integer,unaccompanied_children_male_children,2. Male children (aged 6-14 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÃØİÇá ÇáĞßæÑ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 6-14 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"If a child has been counted under the section above, they should not be counted here",ÅĞÇ Êã ÇÍÊÓÇÈ ÇáØİá ÊÍÊ ÇáÇÓÆáÉ ÇáÓÇÈŞÉ ¡ İáÇ íÌÈ ÇÍÊÓÇÈå åäÇ,,
integer,unaccompanied_children_male_youths,3. Male youths (aged 15-17 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÔÈÇÈ ÇáĞßæÑ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 15 æ 17 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"If a child has been counted under the section above, they should not be counted here",ÅĞÇ Êã ÇÍÊÓÇÈ ÇáØİá ÊÍÊ ÇáÇÓÆáÉ ÇáÓÇÈŞÉ ¡ İáÇ íÌÈ ÇÍÊÓÇÈå åäÇ,,
integer,unaccompanied_children_female_infants,4. Female infants (aged 0-5 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÇáÅäÇË ÇáÑÖÚ (ÇáĞíä ÊÊÑÇæÍ ÃÚãÇÑåã Èíä 0-5 ÓäæÇÊ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"If a child has been counted under the section above, they should not be counted here",ÅĞÇ Êã ÇÍÊÓÇÈ ÇáØİá ÊÍÊ ÇáÇÓÆáÉ ÇáÓÇÈŞÉ ¡ İáÇ íÌÈ ÇÍÊÓÇÈå åäÇ,,
integer,unaccompanied_children_female_children,5. Female children (aged 6-14 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ØİáÉ (ÊÊÑÇæÍ ÃÚãÇÑåä Èíä 6 æ 14 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"If a child has been counted under the section above, they should not be counted here",ÅĞÇ Êã ÇÍÊÓÇÈ ÇáØİá ÊÍÊ ÇáÇÓÆáÉ ÇáÓÇÈŞÉ ¡ İáÇ íÌÈ ÇÍÊÓÇÈå åäÇ,,
integer,unaccompanied_children_female_youths,6. Female youths (aged 15-17 years),yes,,,,.<= ${nb_minordisplaced_hosted},should be less or equal to the number of displaced minors hosted,ÔÇÈÇÊ (ÊÊÑÇæÍ ÃÚãÇÑåä Èíä 15 æ 17 ÓäÉ),íÌÈ Ãä íßæä ÃŞá Ãæ íÓÇæí ÚÏÏ ÇáŞÇÕÑíä ÇáäÇÒÍíä ÇáãÓÊÖÇİíä,,,"If a child has been counted under the section above, they should not be counted here",ÅĞÇ Êã ÇÍÊÓÇÈ ÇáØİá ÊÍÊ ÇáÇÓÆáÉ ÇáÓÇÈŞÉ ¡ İáÇ íÌÈ ÇÍÊÓÇÈå åäÇ,,
end_group,,,,,,,,,,,,,,,,
calculate,unaccompanied_children_calc,,,,,,,,,,,${unaccompanied_children_male_infants}+${unaccompanied_children_male_children}+${unaccompanied_children_male_youths}+${unaccompanied_children_female_infants}+${unaccompanied_children_female_children}+${unaccompanied_children_female_youths},,,,
note,unaccompanied_children_err,the number of unaccompanied children is greater than the minors hosted,yes,,${unaccompanied_children_calc}>${nb_minordisplaced_hosted},,,,"ÚÏÏ ÇáÃØİÇá ÇáĞíä ÇäİÕáæÇ Úä ãŞÏãí ÇáÑÚÇíÉ ÇáØÈíÚííä æáã íÕÍÈåã Ãí İÑÏ ãä ÃİÑÇÏ ÇáÃÓÑÉ ÃßÈÑ ãä ÚÏÏ ÇáŞÇÕÑíä ÇáãÓÊÖÇİíä

",,,,,,,
calculate,minors_displaced_calc,,,,,,,,,,,${seperated_children_calc}+${unaccompanied_children_calc},,,,
