data,Libya,Sebha_idp,Aljufra_idp,Aljufra_non_displaced,Tripoli_idp,Wadi Ashshati_non_displaced,Wadi Ashshati_idp,Aljfara_non_displaced,Sebha_non_displaced,Tripoli_non_displaced,Aljfara_idp,Ejdabia_non_displaced,Tripoli_returnee,Alkufra_idp,Sirt_non_displaced,Ghat_non_displaced,Derna_returnee,Al Jabal Al Gharbi_non_displaced,Azzawya_non_displaced,Zwara_non_displaced,Ejdabia_idp,Alkufra_non_displaced,Al Jabal Al Gharbi_idp,Sirt_returnee,Sirt_idp,Murzuq_non_displaced,Sebha_returnee,Misrata_non_displaced,Misrata_idp,Ghat_idp,Zwara_idp,Murzuq_idp,Al Jabal Al Gharbi_returnee,Alkufra_returnee,Benghazi_returnee,Benghazi_idp,Derna_non_displaced,Benghazi_non_displaced,Azzawya_idp,Aljfara_returnee,Derna_idp,Murzuq_returnee,Azzawya_returnee,Ubari_non_displaced,Ubari_idp,Zwara_returnee,Ghat_returnee,Misrata_returnee,Wadi Ashshati_returnee,Ubari_returnee,Ejdabia_returnee
Infants 0-5years: (male),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infants 0-5years: (male),0.323587434616703,0.205357142857143,0.506493506493506,0.605263157894737,0.494845360824742,0.389380530973451,0.317647058823529,0.260416666666667,0.441441441441441,0.392857142857143,0.324074074074074,0.391304347826087,0.258620689655172,0.427184466019417,0.385321100917431,0.276785714285714,0.355140186915888,0.353982300884956,0.26271186440678,0.486238532110092,0.441441441441441,0.368421052631579,0.305555555555556,0.474137931034483,0.386792452830189,0.524271844660194,0.369565217391304,0.387931034482759,0.379310344827586,0.36036036036036,0.294117647058824,0.482758620689655,0.453703703703704,0.2125,0.100840336134454,0.140350877192982,0.269230769230769,0.11304347826087,0.241071428571429,0.313131313131313,0.109756097560976,0.384615384615385,0.175438596491228,0.452173913043478,0.401960784313726,0.386792452830189,0.435897435897436,0.477064220183486,0.555555555555556,0.263157894736842,0.466666666666667
Children 6-14 years: (male),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 6-14 years: (male),0.535092284956323,0.383928571428571,0.675324675324675,0.842105263157895,0.577319587628866,0.566371681415929,0.764705882352941,0.416666666666667,0.576576576576577,0.482142857142857,0.388888888888889,0.48695652173913,0.620689655172414,0.339805825242718,0.761467889908257,0.410714285714286,0.308411214953271,0.415929203539823,0.669491525423729,0.605504587155963,0.72972972972973,0.289473684210526,0.398148148148148,0.827586206896552,0.547169811320755,0.631067961165049,0.565217391304348,0.439655172413793,0.405172413793103,0.441441441441441,0.588235294117647,0.620689655172414,0.518518518518518,0.35,0.739495798319328,0.429824561403509,0.634615384615385,0.478260869565217,0.651785714285714,0.383838383838384,0.829268292682927,0.82051282051282,0.403508771929825,0.669565217391304,0.42156862745098,0.877358490566038,0.525641025641026,0.394495412844037,0.861111111111111,0.728070175438597,0.433333333333333
Youth 15-17 years: (male),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth 15-17 years: (male),0.327268741610765,0.410714285714286,0.402597402597403,0.526315789473684,0.381443298969072,0.292035398230089,0.505882352941176,0.322916666666667,0.405405405405405,0.214285714285714,0.277777777777778,0.373913043478261,0.120689655172414,0.203883495145631,0.44954128440367,0.178571428571429,0.196261682242991,0.283185840707965,0.330508474576271,0.394495412844037,0.288288288288288,0.210526315789474,0.296296296296296,0.310344827586207,0.311320754716981,0.281553398058252,0.402173913043478,0.301724137931034,0.25,0.306306306306306,0.431372549019608,0.183908045977011,0.481481481481481,0.3125,0.378151260504202,0.236842105263158,0.663461538461538,0.356521739130435,0.294642857142857,0.333333333333333,0.98780487804878,0.333333333333333,0.280701754385965,0.347826086956522,0.352941176470588,0.358490566037736,0.179487179487179,0.256880733944954,0.416666666666667,0.359649122807018,0.433333333333333
Adults 18-64: (male),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults 18-64: (male),1.45732213208639,2.0625,1.14285714285714,1.07017543859649,1.38144329896907,1.85840707964602,1.47058823529412,1.41666666666667,2.17117117117117,1.34821428571429,1.59259259259259,1.40869565217391,1.38793103448276,1.24271844660194,1.14678899082569,1.94642857142857,1.14953271028037,1.53097345132743,1.28813559322034,1.35779816513761,1.2972972972973,1.78070175438596,1.33333333333333,1.12068965517241,1.28301886792453,1.33009708737864,2,1.55172413793103,1.39655172413793,1.62162162162162,1.3921568627451,1.31034482758621,1.33333333333333,1.9,1.58823529411765,1.75438596491228,1.25,1.67826086956522,1.3125,1.6969696969697,1.26829268292683,1.48717948717949,1.36842105263158,1.49565217391304,1.46078431372549,1.57547169811321,1.32051282051282,1.31192660550459,1.52777777777778,1.29824561403509,1.43333333333333
Elderly 65+ years: (male),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly 65+ years: (male),0.0991904973216729,0.0892857142857143,0.181818181818182,0.289473684210526,0.0824742268041237,0.185840707964602,0.0588235294117647,0.0625,0.153153153153153,0.0892857142857143,0.0555555555555556,0.139130434782609,0.137931034482759,0.0388349514563107,0.055045871559633,0.133928571428571,0.0934579439252336,0.0884955752212389,0.0338983050847458,0.018348623853211,0.0900900900900901,0.157894736842105,0.0555555555555556,0.0344827586206897,0.0754716981132075,0.0970873786407767,0.0978260869565217,0.0775862068965517,0.0517241379310345,0.027027027027027,0.0392156862745098,0.0804597701149425,0.148148148148148,0.125,0.109243697478992,0.131578947368421,0.00961538461538462,0.217391304347826,0.116071428571429,0.0808080808080808,0.0121951219512195,0.0769230769230769,0.0526315789473684,0.191304347826087,0.137254901960784,0.0188679245283019,0.0512820512820513,0.165137614678899,0.111111111111111,0.0789473684210526,0.0333333333333333
nb_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb_male,2.74246109059185,3.15178571428571,2.90909090909091,3.33333333333333,2.91752577319588,3.29203539823009,3.11764705882353,2.47916666666667,3.74774774774775,2.52678571428571,2.63888888888889,2.8,2.52586206896552,2.25242718446602,2.79816513761468,2.94642857142857,2.10280373831776,2.67256637168142,2.58474576271186,2.86238532110092,2.84684684684685,2.80701754385965,2.38888888888889,2.76724137931034,2.60377358490566,2.86407766990291,3.43478260869565,2.75862068965517,2.48275862068966,2.75675675675676,2.74509803921569,2.67816091954023,2.93518518518519,2.9,2.91596638655462,2.69298245614035,2.82692307692308,2.84347826086957,2.61607142857143,2.80808080808081,3.20731707317073,3.1025641025641,2.28070175438596,3.15652173913043,2.77450980392157,3.21698113207547,2.51282051282051,2.60550458715596,3.47222222222222,2.7280701754386,2.8
under18_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
under18_male,1.18594846118379,1,1.58441558441558,1.97368421052632,1.45360824742268,1.24778761061947,1.58823529411765,1,1.42342342342342,1.08928571428571,0.990740740740741,1.25217391304348,1,0.970873786407767,1.59633027522936,0.866071428571429,0.85981308411215,1.05309734513274,1.26271186440678,1.48623853211009,1.45945945945946,0.868421052631579,1,1.61206896551724,1.24528301886792,1.4368932038835,1.33695652173913,1.12931034482759,1.03448275862069,1.10810810810811,1.31372549019608,1.28735632183908,1.4537037037037,0.875,1.21848739495798,0.807017543859649,1.56730769230769,0.947826086956522,1.1875,1.03030303030303,1.92682926829268,1.53846153846154,0.859649122807018,1.4695652173913,1.17647058823529,1.62264150943396,1.14102564102564,1.12844036697248,1.83333333333333,1.35087719298246,1.33333333333333
over18_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
over18_male,1.55651262940806,2.15178571428571,1.32467532467532,1.35964912280702,1.4639175257732,2.04424778761062,1.52941176470588,1.47916666666667,2.32432432432432,1.4375,1.64814814814815,1.54782608695652,1.52586206896552,1.28155339805825,1.20183486238532,2.08035714285714,1.24299065420561,1.61946902654867,1.32203389830508,1.37614678899083,1.38738738738739,1.93859649122807,1.38888888888889,1.1551724137931,1.35849056603774,1.42718446601942,2.09782608695652,1.62931034482759,1.44827586206897,1.64864864864865,1.43137254901961,1.39080459770115,1.48148148148148,2.025,1.69747899159664,1.8859649122807,1.25961538461538,1.89565217391304,1.42857142857143,1.77777777777778,1.28048780487805,1.56410256410256,1.42105263157895,1.68695652173913,1.59803921568627,1.59433962264151,1.37179487179487,1.47706422018349,1.63888888888889,1.37719298245614,1.46666666666667
school_aged_boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
school_aged_boys,0.862361026567088,0.794642857142857,1.07792207792208,1.36842105263158,0.958762886597938,0.858407079646018,1.27058823529412,0.739583333333333,0.981981981981982,0.696428571428571,0.666666666666667,0.860869565217391,0.741379310344828,0.543689320388349,1.21100917431193,0.589285714285714,0.504672897196262,0.699115044247788,1,1,1.01801801801802,0.5,0.694444444444444,1.13793103448276,0.858490566037736,0.912621359223301,0.967391304347826,0.741379310344828,0.655172413793103,0.747747747747748,1.01960784313725,0.804597701149425,1,0.6625,1.11764705882353,0.666666666666667,1.29807692307692,0.834782608695652,0.946428571428571,0.717171717171717,1.81707317073171,1.15384615384615,0.684210526315789,1.01739130434783,0.774509803921569,1.23584905660377,0.705128205128205,0.651376146788991,1.27777777777778,1.08771929824561,0.866666666666667
Infants 0-5years: (female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infants 0-5years: (female),0.279677275120208,0.223214285714286,0.311688311688312,0.228070175438596,0.309278350515464,0.256637168141593,0.2,0.3125,0.351351351351351,0.410714285714286,0.314814814814815,0.356521739130435,0.267241379310345,0.427184466019417,0.311926605504587,0.258928571428571,0.280373831775701,0.407079646017699,0.228813559322034,0.256880733944954,0.243243243243243,0.271929824561404,0.388888888888889,0.370689655172414,0.273584905660377,0.271844660194175,0.358695652173913,0.310344827586207,0.370689655172414,0.342342342342342,0.254901960784314,0.183908045977011,0.435185185185185,0.45,0.0756302521008403,0.105263157894737,0.115384615384615,0.104347826086957,0.1875,0.363636363636364,0.0365853658536585,0.333333333333333,0.12280701754386,0.417391304347826,0.441176470588235,0.377358490566038,0.461538461538462,0.376146788990826,0.361111111111111,0.192982456140351,0.3
Children 6-14 years: (female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 6-14 years: (female),0.387597516943471,0.455357142857143,0.701298701298701,0.552631578947368,0.402061855670103,0.47787610619469,0.482352941176471,0.302083333333333,0.387387387387387,0.410714285714286,0.324074074074074,0.6,0.543103448275862,0.378640776699029,0.651376146788991,0.339285714285714,0.205607476635514,0.36283185840708,0.440677966101695,0.587155963302752,0.657657657657658,0.464912280701754,0.37962962962963,0.655172413793103,0.443396226415094,0.805825242718447,0.369565217391304,0.224137931034483,0.224137931034483,0.459459459459459,0.5,0.551724137931034,0.398148148148148,0.3875,0.285714285714286,0.175438596491228,0.230769230769231,0.269565217391304,0.464285714285714,0.373737373737374,0.378048780487805,0.923076923076923,0.719298245614035,0.4,0.372549019607843,0.481132075471698,0.230769230769231,0.321100917431193,0.333333333333333,0.333333333333333,0.616666666666667
Youth 15-17 years: (female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth 15-17 years: (female),0.249200418894615,0.375,0.363636363636364,0.245614035087719,0.237113402061856,0.309734513274336,0.223529411764706,0.197916666666667,0.378378378378378,0.223214285714286,0.305555555555556,0.252173913043478,0.0862068965517241,0.233009708737864,0.256880733944954,0.205357142857143,0.177570093457944,0.247787610619469,0.26271186440678,0.284403669724771,0.207207207207207,0.37719298245614,0.166666666666667,0.206896551724138,0.349056603773585,0.203883495145631,0.347826086956522,0.129310344827586,0.181034482758621,0.261261261261261,0.343137254901961,0.206896551724138,0.259259259259259,0.4,0.142857142857143,0.219298245614035,0.5,0.295652173913043,0.276785714285714,0.343434343434343,0.658536585365854,0.282051282051282,0.298245614035088,0.269565217391304,0.205882352941176,0.415094339622642,0.192307692307692,0.220183486238532,0.5,0.333333333333333,0.233333333333333
Adults 18-64: (female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults 18-64: (female),1.4031137247508,1.79464285714286,1.12987012987013,1.16666666666667,1.30927835051546,1.43362831858407,1.36470588235294,1.35416666666667,2.00900900900901,1.27678571428571,1.43518518518519,1.59130434782609,1.27586206896552,1.29126213592233,1.29357798165138,1.74107142857143,1.23364485981308,1.30088495575221,1.34745762711864,1.30275229357798,1.53153153153153,1.64912280701754,1.30555555555556,1.23275862068966,1.26415094339623,1.20388349514563,1.60869565217391,1.51724137931034,1.36206896551724,1.36936936936937,1.25490196078431,1.25287356321839,1.25,1.6875,1.57142857142857,1.69298245614035,1.125,1.56521739130435,1.28571428571429,1.4040404040404,1.35365853658537,1.07692307692308,1.42105263157895,1.6,1.36274509803922,1.24528301886792,1.55128205128205,1.25688073394495,1.27777777777778,1.24561403508772,1.65
Elderly 65+ years: (female),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly 65+ years: (female),0.0759395578879326,0.0982142857142857,0.194805194805195,0.289473684210526,0.0618556701030928,0.079646017699115,0.176470588235294,0.0729166666666667,0.0540540540540541,0.125,0.0925925925925926,0.130434782608696,0.0862068965517241,0.0388349514563107,0.0642201834862385,0.0446428571428571,0.0373831775700935,0.0884955752212389,0.0593220338983051,0.055045871559633,0.0990990990990991,0.0964912280701754,0.0648148148148148,0.0344827586206897,0.0566037735849057,0.16504854368932,0.108695652173913,0.0603448275862069,0.0603448275862069,0.036036036036036,0.0196078431372549,0.137931034482759,0.0833333333333333,0.1125,0.0336134453781513,0.0789473684210526,0.00961538461538462,0.0347826086956522,0.0267857142857143,0.0808080808080808,0.024390243902439,0.333333333333333,0.0701754385964912,0.147826086956522,0.166666666666667,0.0471698113207547,0.0512820512820513,0.137614678899083,0.111111111111111,0.0263157894736842,0.0166666666666667
nb_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb_female,2.39552849359703,2.94642857142857,2.7012987012987,2.48245614035088,2.31958762886598,2.55752212389381,2.44705882352941,2.23958333333333,3.18018018018018,2.44642857142857,2.47222222222222,2.9304347826087,2.25862068965517,2.36893203883495,2.57798165137615,2.58928571428571,1.93457943925234,2.4070796460177,2.33898305084746,2.48623853211009,2.73873873873874,2.85964912280702,2.30555555555556,2.5,2.38679245283019,2.6504854368932,2.79347826086957,2.24137931034483,2.19827586206897,2.46846846846847,2.37254901960784,2.33333333333333,2.42592592592593,3.0375,2.10924369747899,2.2719298245614,1.98076923076923,2.2695652173913,2.24107142857143,2.56565656565657,2.45121951219512,2.94871794871795,2.63157894736842,2.83478260869565,2.54901960784314,2.56603773584906,2.48717948717949,2.31192660550459,2.58333333333333,2.13157894736842,2.81666666666667
under18_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
under18_female,0.916475210958294,1.05357142857143,1.37662337662338,1.02631578947368,0.948453608247423,1.04424778761062,0.905882352941176,0.8125,1.11711711711712,1.04464285714286,0.944444444444444,1.20869565217391,0.896551724137931,1.03883495145631,1.22018348623853,0.803571428571429,0.663551401869159,1.01769911504425,0.932203389830508,1.12844036697248,1.10810810810811,1.1140350877193,0.935185185185185,1.23275862068966,1.06603773584906,1.28155339805825,1.07608695652174,0.663793103448276,0.775862068965517,1.06306306306306,1.09803921568627,0.942528735632184,1.09259259259259,1.2375,0.504201680672269,0.5,0.846153846153846,0.669565217391304,0.928571428571429,1.08080808080808,1.07317073170732,1.53846153846154,1.14035087719298,1.08695652173913,1.01960784313725,1.27358490566038,0.884615384615385,0.917431192660551,1.19444444444444,0.859649122807018,1.15
over18_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
