"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var27","1. Government salary","strata.names",NA,"Murzuq_idp",900,38.266009269349,825,975,NA,NA
"dependent.var28","1. Government salary","strata.names",NA,"Al Jabal Al Gharbi_returnee",1500,0,1500,1500,NA,NA
"dependent.var29","1. Government salary","strata.names",NA,"Alkufra_returnee",1500,76.5320185386981,1350,1650,NA,NA
"dependent.var30","1. Government salary","strata.names",NA,"Benghazi_returnee",1500,204.085382769862,1100,1900,NA,NA
"dependent.var31","1. Government salary","strata.names",NA,"Derna_non_displaced",1300,25.5106728462327,1250,1350,NA,NA
"dependent.var32","1. Government salary","strata.names",NA,"Benghazi_non_displaced",1500,178.574709923629,1150,1850,NA,NA
"dependent.var33","1. Government salary","strata.names",NA,"Azzawya_idp",1350,25.5106728462327,1300,1400,NA,NA
"dependent.var34","1. Government salary","strata.names",NA,"Aljfara_returnee",2000,76.5320185386981,1850,2150,NA,NA
"dependent.var35","1. Government salary","strata.names",NA,"Benghazi_idp",1600,114.798027808047,1375,1825,NA,NA
"dependent.var36","1. Government salary","strata.names",NA,"Derna_idp",1400,25.5106728462327,1350,1450,NA,NA
"dependent.var37","1. Government salary","strata.names",NA,"Tripoli_returnee",1200,25.5106728462327,1150,1250,NA,NA
"dependent.var38","1. Government salary","strata.names",NA,"Murzuq_returnee",850,51.0213456924654,750,950,NA,NA
"dependent.var39","1. Government salary","strata.names",NA,"Azzawya_returnee",1250,38.266009269349,1175,1325,NA,NA
"dependent.var40","1. Government salary","strata.names",NA,"Ubari_non_displaced",1500,114.798027808047,1275,1725,NA,NA
"dependent.var41","1. Government salary","strata.names",NA,"Ubari_idp",1150,89.2873549618145,975,1325,NA,NA
"dependent.var42","1. Government salary","strata.names",NA,"Zwara_returnee",1300,102.042691384931,1100,1500,NA,NA
"dependent.var43","1. Government salary","strata.names",NA,"Ghat_idp",750,30.6128074154792,690,810,NA,NA
"dependent.var44","1. Government salary","strata.names",NA,"Ghat_returnee",800,38.266009269349,725,875,NA,NA
"dependent.var45","1. Government salary","strata.names",NA,"Wadi Ashshati_idp",1100,150.512969792773,805,1395,NA,NA
"dependent.var46","1. Government salary","strata.names",NA,"Misrata_returnee",850,51.0213456924654,750,950,NA,NA
"dependent.var47","1. Government salary","strata.names",NA,"Wadi Ashshati_returnee",1400,122.451229661917,1160,1640,NA,NA
"dependent.var48","1. Government salary","strata.names",NA,"Ubari_returnee",1095,86.7362876771912,925,1265,NA,NA
"dependent.var49","1. Government salary","strata.names",NA,"Ejdabia_returnee",1400,102.042691384931,1200,1600,NA,NA
"dependent.var74","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Sebha_idp",0,0,0,0,NA,NA
"dependent.var110","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Aljufra_idp",0,0,0,0,NA,NA
"dependent.var210","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Aljufra_non_displaced",0,0,0,0,NA,NA
"dependent.var310","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Tripoli_idp",0,0,0,0,NA,NA
"dependent.var410","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Wadi Ashshati_non_displaced",0,0,0,0,NA,NA
"dependent.var510","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Wadi Ashshati_idp",0,0,0,0,NA,NA
"dependent.var610","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Aljfara_non_displaced",0,0,0,0,NA,NA
"dependent.var75","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Sebha_non_displaced",0,0,0,0,NA,NA
"dependent.var81","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Tripoli_non_displaced",0,0,0,0,NA,NA
"dependent.var91","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Aljfara_idp",0,0,0,0,NA,NA
"dependent.var101","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ejdabia_non_displaced",0,0,0,0,NA,NA
"dependent.var111","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Tripoli_returnee",0,0,0,0,NA,NA
"dependent.var121","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Alkufra_idp",0,0,0,0,NA,NA
"dependent.var131","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Sirt_non_displaced",0,0,0,0,NA,NA
"dependent.var141","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ghat_non_displaced",0,0,0,0,NA,NA
"dependent.var151","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Derna_returnee",0,0,0,0,NA,NA
"dependent.var161","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Al Jabal Al Gharbi_non_displaced",0,0,0,0,NA,NA
"dependent.var171","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Azzawya_non_displaced",0,0,0,0,NA,NA
"dependent.var181","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Zwara_non_displaced",0,0,0,0,NA,NA
"dependent.var191","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ejdabia_idp",0,0,0,0,NA,NA
"dependent.var201","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Alkufra_non_displaced",0,102.042691384931,-200,200,NA,NA
"dependent.var211","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Al Jabal Al Gharbi_idp",0,0,0,0,NA,NA
"dependent.var221","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Sirt_returnee",0,0,0,0,NA,NA
"dependent.var231","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Sirt_idp",0,0,0,0,NA,NA
"dependent.var241","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Murzuq_non_displaced",0,0,0,0,NA,NA
"dependent.var251","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Sebha_returnee",0,0,0,0,NA,NA
"dependent.var261","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Misrata_non_displaced",0,0,0,0,NA,NA
"dependent.var271","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Misrata_idp",0,0,0,0,NA,NA
"dependent.var281","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ghat_idp",0,0,0,0,NA,NA
"dependent.var291","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Zwara_idp",0,0,0,0,NA,NA
"dependent.var301","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Murzuq_idp",0,0,0,0,NA,NA
"dependent.var311","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Al Jabal Al Gharbi_returnee",0,0,0,0,NA,NA
"dependent.var321","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Alkufra_returnee",0,0,0,0,NA,NA
"dependent.var331","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Benghazi_returnee",0,0,0,0,NA,NA
"dependent.var341","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Benghazi_idp",0,0,0,0,NA,NA
"dependent.var351","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Derna_non_displaced",0,0,0,0,NA,NA
"dependent.var361","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Benghazi_non_displaced",0,0,0,0,NA,NA
"dependent.var371","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Azzawya_idp",0,0,0,0,NA,NA
"dependent.var381","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Aljfara_returnee",0,0,0,0,NA,NA
"dependent.var391","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Derna_idp",0,0,0,0,NA,NA
"dependent.var401","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Murzuq_returnee",0,114.798027808047,-225,225,NA,NA
"dependent.var411","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Azzawya_returnee",0,0,0,0,NA,NA
"dependent.var421","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ubari_non_displaced",0,0,0,0,NA,NA
"dependent.var431","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ubari_idp",0,0,0,0,NA,NA
"dependent.var441","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Zwara_returnee",0,0,0,0,NA,NA
"dependent.var451","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ghat_returnee",0,0,0,0,NA,NA
"dependent.var461","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Misrata_returnee",0,0,0,0,NA,NA
"dependent.var471","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Wadi Ashshati_returnee",0,0,0,0,NA,NA
"dependent.var481","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ubari_returnee",0,0,0,0,NA,NA
"dependent.var491","2. Government social benefits or assistance (including pensions)","strata.names",NA,"Ejdabia_returnee",0,0,0,0,NA,NA
"dependent.var76","3. Non-government salaried work","strata.names",NA,"Wadi Ashshati_non_displaced",590,81.6341531079446,430,750,NA,NA
"dependent.var112","3. Non-government salaried work","strata.names",NA,"Wadi Ashshati_idp",800,38.266009269349,725,875,NA,NA
"dependent.var212","3. Non-government salaried work","strata.names",NA,"Tripoli_non_displaced",1400,382.660092693491,650,2150,NA,NA
"dependent.var312","3. Non-government salaried work","strata.names",NA,"Tripoli_idp",1350,255.106728462327,850,1850,NA,NA
"dependent.var412","3. Non-government salaried work","strata.names",NA,"Sirt_non_displaced",400,331.638747001025,-250,1050,NA,NA
"dependent.var511","3. Non-government salaried work","strata.names",NA,"Ghat_non_displaced",80,76.5320185386981,-70,230,NA,NA
"dependent.var611","3. Non-government salaried work","strata.names",NA,"Sebha_non_displaced",500,51.0213456924654,400,600,NA,NA
"dependent.var77","3. Non-government salaried work","strata.names",NA,"Azzawya_non_displaced",500,51.0213456924654,400,600,NA,NA
"dependent.var82","3. Non-government salaried work","strata.names",NA,"Zwara_non_displaced",300,433.681438385956,-550,1150,NA,NA
"dependent.var92","3. Non-government salaried work","strata.names",NA,"Alkufra_non_displaced",800,216.840719192978,375,1225,NA,NA
"dependent.var102","3. Non-government salaried work","strata.names",NA,"Aljufra_idp",0,0,0,0,NA,NA
"dependent.var113","3. Non-government salaried work","strata.names",NA,"Murzuq_non_displaced",700,51.0213456924654,600,800,NA,NA
"dependent.var122","3. Non-government salaried work","strata.names",NA,"Misrata_non_displaced",750,127.553364231163,500,1000,NA,NA
"dependent.var132","3. Non-government salaried work","strata.names",NA,"Ejdabia_non_displaced",700,255.106728462327,200,1200,NA,NA
"dependent.var142","3. Non-government salaried work","strata.names",NA,"Misrata_idp",750,127.553364231163,500,1000,NA,NA
"dependent.var152","3. Non-government salaried work","strata.names",NA,"Sirt_idp",500,76.5320185386981,350,650,NA,NA
"dependent.var162","3. Non-government salaried work","strata.names",NA,"Ghat_idp",400,204.085382769862,5.6843418860808e-14,800,NA,NA
"dependent.var172","3. Non-government salaried work","strata.names",NA,"Al Jabal Al Gharbi_non_displaced",500,255.106728462327,5.6843418860808e-14,1000,NA,NA
"dependent.var182","3. Non-government salaried work","strata.names",NA,"Alkufra_idp",600,255.106728462327,100,1100,NA,NA
"dependent.var192","3. Non-government salaried work","strata.names",NA,"Zwara_idp",0,382.660092693491,-750,750,NA,NA
"dependent.var202","3. Non-government salaried work","strata.names",NA,"Sebha_idp",400,25.5106728462327,350,450,NA,NA
"dependent.var213","3. Non-government salaried work","strata.names",NA,"Al Jabal Al Gharbi_idp",600,255.106728462327,100,1100,NA,NA
"dependent.var222","3. Non-government salaried work","strata.names",NA,"Alkufra_returnee",800,76.5320185386981,650,950,NA,NA
"dependent.var232","3. Non-government salaried work","strata.names",NA,"Al Jabal Al Gharbi_returnee",500,76.5320185386981,350,650,NA,NA
"dependent.var242","3. Non-government salaried work","strata.names",NA,"Aljfara_non_displaced",1000,153.064037077396,700,1300,NA,NA
"dependent.var252","3. Non-government salaried work","strata.names",NA,"Aljfara_idp",700,255.106728462327,200,1200,NA,NA
"dependent.var262","3. Non-government salaried work","strata.names",NA,"Benghazi_idp",900,127.553364231163,650,1150,NA,NA
"dependent.var272","3. Non-government salaried work","strata.names",NA,"Benghazi_non_displaced",1200,127.553364231163,950,1450,NA,NA
"dependent.var282","3. Non-government salaried work","strata.names",NA,"Murzuq_idp",700,76.5320185386981,550,850,NA,NA
"dependent.var292","3. Non-government salaried work","strata.names",NA,"Azzawya_idp",500,140.30870065428,225,775,NA,NA
"dependent.var302","3. Non-government salaried work","strata.names",NA,"Tripoli_returnee",1600,510.213456924654,600,2600,NA,NA
"dependent.var313","3. Non-government salaried work","strata.names",NA,"Ejdabia_idp",800,153.064037077396,500,1100,NA,NA
"dependent.var322","3. Non-government salaried work","strata.names",NA,"Benghazi_returnee",900,51.0213456924654,800,1000,NA,NA
"dependent.var332","3. Non-government salaried work","strata.names",NA,"Sirt_returnee",0,153.064037077396,-300,300,NA,NA
"dependent.var342","3. Non-government salaried work","strata.names",NA,"Azzawya_returnee",500,229.596055616094,50.0000000000001,950,NA,NA
"dependent.var352","3. Non-government salaried work","strata.names",NA,"Aljufra_non_displaced",0,0,0,0,NA,NA
"dependent.var362","3. Non-government salaried work","strata.names",NA,"Ubari_non_displaced",600,63.7766821155817,475,725,NA,NA
"dependent.var372","3. Non-government salaried work","strata.names",NA,"Ubari_idp",560,76.5320185386981,410,710,NA,NA
"dependent.var382","3. Non-government salaried work","strata.names",NA,"Derna_returnee",500,153.064037077396,200,800,NA,NA
"dependent.var392","3. Non-government salaried work","strata.names",NA,"Derna_non_displaced",450,255.106728462327,-49.9999999999999,950,NA,NA
"dependent.var402","3. Non-government salaried work","strata.names",NA,"Zwara_returnee",350,140.30870065428,75.0000000000001,625,NA,NA
"dependent.var413","3. Non-government salaried work","strata.names",NA,"Ghat_returnee",600,140.30870065428,325,875,NA,NA
"dependent.var422","3. Non-government salaried work","strata.names",NA,"Murzuq_returnee",800,76.5320185386981,650,950,NA,NA
"dependent.var432","3. Non-government salaried work","strata.names",NA,"Misrata_returnee",1000,63.7766821155817,875,1125,NA,NA
"dependent.var442","3. Non-government salaried work","strata.names",NA,"Derna_idp",600,0,600,600,NA,NA
"dependent.var452","3. Non-government salaried work","strata.names",NA,"Sebha_returnee",700,114.798027808047,475,925,NA,NA
"dependent.var462","3. Non-government salaried work","strata.names",NA,"Ubari_returnee",500,216.840719192978,75.0000000000001,925,NA,NA
"dependent.var472","3. Non-government salaried work","strata.names",NA,"Wadi Ashshati_returnee",450,408.170765539723,-350,1250,NA,NA
"dependent.var482","3. Non-government salaried work","strata.names",NA,"Aljfara_returnee",950,178.574709923629,600,1300,NA,NA
"dependent.var492","3. Non-government salaried work","strata.names",NA,"Ejdabia_returnee",2200,0,2200,2200,NA,NA
"dependent.var78","4. Casual or daily labour","strata.names",NA,"Aljufra_idp",0,0,0,0,NA,NA
"dependent.var114","4. Casual or daily labour","strata.names",NA,"Aljfara_non_displaced",400,369.904756270374,-325,1125,NA,NA
"dependent.var214","4. Casual or daily labour","strata.names",NA,"Ejdabia_non_displaced",800,178.574709923629,450,1150,NA,NA
"dependent.var314","4. Casual or daily labour","strata.names",NA,"Zwara_non_displaced",0,102.042691384931,-200,200,NA,NA
"dependent.var414","4. Casual or daily labour","strata.names",NA,"Alkufra_non_displaced",600,127.553364231163,350,850,NA,NA
"dependent.var512","4. Casual or daily labour","strata.names",NA,"Alkufra_idp",0,0,0,0,NA,NA
"dependent.var612","4. Casual or daily labour","strata.names",NA,"Misrata_non_displaced",100,612.256148309585,-1100,1300,NA,NA
"dependent.var79","4. Casual or daily labour","strata.names",NA,"Sebha_non_displaced",0,127.553364231163,-250,250,NA,NA
"dependent.var83","4. Casual or daily labour","strata.names",NA,"Sebha_idp",300,114.798027808047,75,525,NA,NA
"dependent.var93","4. Casual or daily labour","strata.names",NA,"Alkufra_returnee",600,51.0213456924654,500,700,NA,NA
"dependent.var103","4. Casual or daily labour","strata.names",NA,"Benghazi_idp",750,178.574709923629,400,1100,NA,NA
"dependent.var115","4. Casual or daily labour","strata.names",NA,"Ejdabia_idp",0,0,0,0,NA,NA
"dependent.var123","4. Casual or daily labour","strata.names",NA,"Tripoli_idp",1000,0,1000,1000,NA,NA
"dependent.var133","4. Casual or daily labour","strata.names",NA,"Derna_non_displaced",0,127.553364231163,-250,250,NA,NA
"dependent.var143","4. Casual or daily labour","strata.names",NA,"Benghazi_non_displaced",1000,510.213456924654,1.13686837721616e-13,2000,NA,NA
"dependent.var153","4. Casual or daily labour","strata.names",NA,"Murzuq_idp",250,599.500811886468,-925,1425,NA,NA
"dependent.var163","4. Casual or daily labour","strata.names",NA,"Zwara_idp",400,178.574709923629,50,750,NA,NA
"dependent.var173","4. Casual or daily labour","strata.names",NA,"Sebha_returnee",400,127.553364231163,150,650,NA,NA
"dependent.var183","4. Casual or daily labour","strata.names",NA,"Benghazi_returnee",500,178.574709923629,150,850,NA,NA
"dependent.var193","4. Casual or daily labour","strata.names",NA,"Azzawya_non_displaced",350,510.213456924654,-650,1350,NA,NA
"dependent.var203","4. Casual or daily labour","strata.names",NA,"Al Jabal Al Gharbi_idp",500,969.405568156843,-1400,2400,NA,NA
"dependent.var215","4. Casual or daily labour","strata.names",NA,"Murzuq_non_displaced",200,0,200,200,NA,NA
"dependent.var223","4. Casual or daily labour","strata.names",NA,"Ubari_idp",150,127.553364231163,-100,400,NA,NA
"dependent.var233","4. Casual or daily labour","strata.names",NA,"Wadi Ashshati_non_displaced",800,127.553364231163,550,1050,NA,NA
"dependent.var243","4. Casual or daily labour","strata.names",NA,"Al Jabal Al Gharbi_non_displaced",0,127.553364231163,-250,250,NA,NA
"dependent.var253","4. Casual or daily labour","strata.names",NA,"Wadi Ashshati_idp",860,183.676844492875,500,1220,NA,NA
"dependent.var263","4. Casual or daily labour","strata.names",NA,"Murzuq_returnee",500,127.553364231163,250,750,NA,NA
"dependent.var273","4. Casual or daily labour","strata.names",NA,"Derna_idp",350,165.819373500513,25,675,NA,NA
"dependent.var283","4. Casual or daily labour","strata.names",NA,"Sirt_idp",0,102.042691384931,-200,200,NA,NA
"dependent.var293","4. Casual or daily labour","strata.names",NA,"Zwara_returnee",350,25.5106728462327,300,400,NA,NA
"dependent.var303","4. Casual or daily labour","strata.names",NA,"Azzawya_returnee",0,0,0,0,NA,NA
"dependent.var315","4. Casual or daily labour","strata.names",NA,"Ubari_non_displaced",80,25.5106728462327,30,130,NA,NA
"dependent.var323","4. Casual or daily labour","strata.names",NA,"Al Jabal Al Gharbi_returnee",500,0,500,500,NA,NA
"dependent.var333","4. Casual or daily labour","strata.names",NA,"Misrata_idp",0,191.330046346745,-375,375,NA,NA
"dependent.var343","4. Casual or daily labour","strata.names",NA,"Wadi Ashshati_returnee",700,239.800324754587,230,1170,NA,NA
"dependent.var353","4. Casual or daily labour","strata.names",NA,"Tripoli_non_displaced",0,255.106728462327,-500,500,NA,NA
"dependent.var363","4. Casual or daily labour","strata.names",NA,"Aljfara_idp",400,127.553364231163,150,650,NA,NA
"dependent.var373","4. Casual or daily labour","strata.names",NA,"Ejdabia_returnee",600,0,600,600,NA,NA
"dependent.var383","4. Casual or daily labour","strata.names",NA,"Aljfara_returnee",380,51.0213456924654,280,480,NA,NA
"dependent.var393","4. Casual or daily labour","strata.names",NA,"Ghat_non_displaced",0,0,0,0,NA,NA
"dependent.var403","4. Casual or daily labour","strata.names",NA,"Misrata_returnee",1000,127.553364231163,750,1250,NA,NA
"dependent.var415","4. Casual or daily labour","strata.names",NA,"Azzawya_idp",1000,0,1000,1000,NA,NA
"dependent.var80","5. Income from own business or commerce","strata.names",NA,"Tripoli_returnee",3000,1862.27911777499,-650,6650,NA,NA
"dependent.var116","5. Income from own business or commerce","strata.names",NA,"Al Jabal Al Gharbi_non_displaced",1500,637.766821155818,250,2750,NA,NA
"dependent.var216","5. Income from own business or commerce","strata.names",NA,"Zwara_non_displaced",1000,201.534315485238,605,1395,NA,NA
"dependent.var316","5. Income from own business or commerce","strata.names",NA,"Ejdabia_idp",800,127.553364231163,550,1050,NA,NA
"dependent.var416","5. Income from own business or commerce","strata.names",NA,"Ghat_non_displaced",0,127.553364231163,-250,250,NA,NA
"dependent.var513","5. Income from own business or commerce","strata.names",NA,"Sirt_idp",600,127.553364231163,350,850,NA,NA
"dependent.var613","5. Income from own business or commerce","strata.names",NA,"Sebha_non_displaced",1000,127.553364231163,750,1250,NA,NA
"dependent.var710","5. Income from own business or commerce","strata.names",NA,"Misrata_non_displaced",0,433.681438385956,-850,850,NA,NA
"dependent.var84","5. Income from own business or commerce","strata.names",NA,"Azzawya_non_displaced",2000,433.681438385956,1150,2850,NA,NA
"dependent.var94","5. Income from own business or commerce","strata.names",NA,"Alkufra_non_displaced",650,395.415429116607,-125,1425,NA,NA
"dependent.var104","5. Income from own business or commerce","strata.names",NA,"Sebha_idp",800,127.553364231163,550,1050,NA,NA
"dependent.var117","5. Income from own business or commerce","strata.names",NA,"Alkufra_returnee",700,229.596055616094,250,1150,NA,NA
"dependent.var124","5. Income from own business or commerce","strata.names",NA,"Murzuq_non_displaced",600,336.740881570272,-59.9999999999999,1260,NA,NA
"dependent.var134","5. Income from own business or commerce","strata.names",NA,"Aljfara_non_displaced",2000,510.213456924654,1000,3000,NA,NA
"dependent.var144","5. Income from own business or commerce","strata.names",NA,"Alkufra_idp",850,471.947447655305,-74.9999999999999,1775,NA,NA
"dependent.var154","5. Income from own business or commerce","strata.names",NA,"Al Jabal Al Gharbi_returnee",1000,204.085382769862,600,1400,NA,NA
"dependent.var164","5. Income from own business or commerce","strata.names",NA,"Zwara_idp",500,382.660092693491,-250,1250,NA,NA
"dependent.var174","5. Income from own business or commerce","strata.names",NA,"Benghazi_non_displaced",0,0,0,0,NA,NA
"dependent.var184","5. Income from own business or commerce","strata.names",NA,"Misrata_idp",0,51.0213456924654,-100,100,NA,NA
"dependent.var194","5. Income from own business or commerce","strata.names",NA,"Aljfara_returnee",1500,255.106728462327,1000,2000,NA,NA
"dependent.var204","5. Income from own business or commerce","strata.names",NA,"Ejdabia_non_displaced",2000,892.873549618145,250,3750,NA,NA
"dependent.var217","5. Income from own business or commerce","strata.names",NA,"Murzuq_idp",500,204.085382769862,100,900,NA,NA
"dependent.var224","5. Income from own business or commerce","strata.names",NA,"Sebha_returnee",1300,178.574709923629,950,1650,NA,NA
"dependent.var234","5. Income from own business or commerce","strata.names",NA,"Azzawya_returnee",700,318.883410577909,75.0000000000001,1325,NA,NA
