"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"11.dependent.var1","How many people live in your household (including the interviewee)?","Displacement_status",NA,"non_displaced",5.1505937239813,NA,4.9701432375901,5.3310442103725,NA,NA,0.000463631345011091,"two sample ttest on difference in means (two sided)"
"11.dependent.var2","How many people live in your household (including the interviewee)?","Displacement_status",NA,"returnee",5.03681201635601,NA,4.80848641853751,5.26513761417451,NA,NA,0.000463631345011091,"two sample ttest on difference in means (two sided)"
"13","Infants 0-5years: (male)","na","NA","NA",0.273610028174949,NA,0.226106947856378,0.321113108493521,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"15.dependent.var","Infants 0-5years: (male)","Displacement_status",NA,"idp",0.3246293847155,NA,0.263597211433327,0.385661557997672,NA,NA,0.321528208324196,"two sample ttest on difference in means (two sided)"
"15.dependent.var1","Infants 0-5years: (male)","Displacement_status",NA,"non_displaced",0.273925950918645,NA,0.220566027346721,0.327285874490569,NA,NA,0.321528208324196,"two sample ttest on difference in means (two sided)"
"15.dependent.var2","Infants 0-5years: (male)","Displacement_status",NA,"returnee",0.240293588012217,NA,0.14061932695865,0.339967849065784,NA,NA,0.321528208324196,"two sample ttest on difference in means (two sided)"
"17","Children 6-14 years: (male)","na","NA","NA",0.566393180151255,NA,0.496982856576445,0.635803503726065,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"19.dependent.var","Children 6-14 years: (male)","Displacement_status",NA,"idp",0.528704964398107,NA,0.440841681089983,0.616568247706231,NA,NA,0.911041421193057,"two sample ttest on difference in means (two sided)"
"19.dependent.var1","Children 6-14 years: (male)","Displacement_status",NA,"non_displaced",0.562420041383207,NA,0.484734366310182,0.640105716456232,NA,NA,0.911041421193057,"two sample ttest on difference in means (two sided)"
"19.dependent.var2","Children 6-14 years: (male)","Displacement_status",NA,"returnee",0.633122426802391,NA,0.469206218517212,0.797038635087571,NA,NA,0.911041421193057,"two sample ttest on difference in means (two sided)"
"21","Youth 15-17 years: (male)","na","NA","NA",0.303579347693669,NA,0.251043058570773,0.356115636816565,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"23.dependent.var","Youth 15-17 years: (male)","Displacement_status",NA,"idp",0.284959006596785,NA,0.226558417272365,0.343359595921205,NA,NA,0.886506508329619,"two sample ttest on difference in means (two sided)"
"23.dependent.var1","Youth 15-17 years: (male)","Displacement_status",NA,"non_displaced",0.30745364948807,NA,0.248410454548783,0.366496844427357,NA,NA,0.886506508329619,"two sample ttest on difference in means (two sided)"
"23.dependent.var2","Youth 15-17 years: (male)","Displacement_status",NA,"returnee",0.270806732893642,NA,0.160807603345103,0.380805862442181,NA,NA,0.886506508329619,"two sample ttest on difference in means (two sided)"
"25","Adults 18-64: (male)","na","NA","NA",1.50121350866291,NA,1.41726773411921,1.58515928320662,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"27.dependent.var","Adults 18-64: (male)","Displacement_status",NA,"idp",1.50951207566879,NA,1.40887671856744,1.61014743277013,NA,NA,7.1457498921319e-05,"two sample ttest on difference in means (two sided)"
"27.dependent.var1","Adults 18-64: (male)","Displacement_status",NA,"non_displaced",1.49012910517871,NA,1.39609815253019,1.58416005782724,NA,NA,7.1457498921319e-05,"two sample ttest on difference in means (two sided)"
"27.dependent.var2","Adults 18-64: (male)","Displacement_status",NA,"returnee",1.6212086998218,NA,1.42662290139418,1.81579449824941,NA,NA,7.1457498921319e-05,"two sample ttest on difference in means (two sided)"
"29","Elderly 65+ years: (male)","na","NA","NA",0.0909389880592877,NA,0.0658858962553466,0.115992079863229,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"31.dependent.var","Elderly 65+ years: (male)","Displacement_status",NA,"idp",0.0826237033869129,NA,0.0522673479641667,0.112980058809659,NA,NA,0.0137992104673268,"two sample ttest on difference in means (two sided)"
"31.dependent.var1","Elderly 65+ years: (male)","Displacement_status",NA,"non_displaced",0.0898597679864684,NA,0.0615984623653326,0.118121073607604,NA,NA,0.0137992104673268,"two sample ttest on difference in means (two sided)"
"31.dependent.var2","Elderly 65+ years: (male)","Displacement_status",NA,"returnee",0.107943573886853,NA,0.063798702349273,0.152088445424434,NA,NA,0.0137992104673268,"two sample ttest on difference in means (two sided)"
"33","Infants 0-5years: (female)","na","NA","NA",0.247622880134035,NA,0.19666189188064,0.29858386838743,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"35.dependent.var","Infants 0-5years: (female)","Displacement_status",NA,"idp",0.202465398442674,NA,0.157430520348833,0.247500276536515,NA,NA,0.841487519172258,"two sample ttest on difference in means (two sided)"
"35.dependent.var1","Infants 0-5years: (female)","Displacement_status",NA,"non_displaced",0.255111837616101,NA,0.197737427100895,0.312486248131307,NA,NA,0.841487519172258,"two sample ttest on difference in means (two sided)"
"35.dependent.var2","Infants 0-5years: (female)","Displacement_status",NA,"returnee",0.18961954481896,NA,0.0880860863883616,0.291153003249559,NA,NA,0.841487519172258,"two sample ttest on difference in means (two sided)"
"37","Children 6-14 years: (female)","na","NA","NA",0.408307070358029,NA,0.332125526532597,0.484488614183461,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"39.dependent.var","Children 6-14 years: (female)","Displacement_status",NA,"idp",0.352665260249239,NA,0.29653258551222,0.408797934986257,NA,NA,0.741372631211938,"two sample ttest on difference in means (two sided)"
"39.dependent.var1","Children 6-14 years: (female)","Displacement_status",NA,"non_displaced",0.415767581081621,NA,0.329626178082124,0.501908984081118,NA,NA,0.741372631211938,"two sample ttest on difference in means (two sided)"
"39.dependent.var2","Children 6-14 years: (female)","Displacement_status",NA,"returnee",0.35673938093018,NA,0.232695598242277,0.480783163618083,NA,NA,0.741372631211938,"two sample ttest on difference in means (two sided)"
"41","Youth 15-17 years: (female)","na","NA","NA",0.252568540653013,NA,0.201917405389386,0.303219675916641,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"43.dependent.var","Youth 15-17 years: (female)","Displacement_status",NA,"idp",0.198742778901061,NA,0.149669640498251,0.247815917303871,NA,NA,0.977920928844502,"two sample ttest on difference in means (two sided)"
"43.dependent.var1","Youth 15-17 years: (female)","Displacement_status",NA,"non_displaced",0.264669167412345,NA,0.207096183522669,0.322242151302022,NA,NA,0.977920928844502,"two sample ttest on difference in means (two sided)"
"43.dependent.var2","Youth 15-17 years: (female)","Displacement_status",NA,"returnee",0.147683346751852,NA,0.101974007670168,0.193392685833537,NA,NA,0.977920928844502,"two sample ttest on difference in means (two sided)"
"45","Adults 18-64: (female)","na","NA","NA",1.44750403489218,NA,1.38400578606774,1.51100228371661,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"47.dependent.var","Adults 18-64: (female)","Displacement_status",NA,"idp",1.53822510239804,NA,1.44113541974597,1.63531478505011,NA,NA,0.0154863200116066,"two sample ttest on difference in means (two sided)"
"47.dependent.var1","Adults 18-64: (female)","Displacement_status",NA,"non_displaced",1.44306400802787,NA,1.37173687319322,1.51439114286252,NA,NA,0.0154863200116066,"two sample ttest on difference in means (two sided)"
"47.dependent.var2","Adults 18-64: (female)","Displacement_status",NA,"returnee",1.44459328169596,NA,1.31493790923339,1.57424865415853,NA,NA,0.0154863200116066,"two sample ttest on difference in means (two sided)"
"49","Elderly 65+ years: (female)","na","NA","NA",0.0469674926548383,NA,0.0357616283344822,0.0581733569751943,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"51.dependent.var","Elderly 65+ years: (female)","Displacement_status",NA,"idp",0.0613146876962488,NA,0.0329113525621848,0.0897180228303128,NA,NA,0.0430453111855707,"two sample ttest on difference in means (two sided)"
"51.dependent.var1","Elderly 65+ years: (female)","Displacement_status",NA,"non_displaced",0.0481926148882569,NA,0.0355234401114424,0.0608617896650714,NA,NA,0.0430453111855707,"two sample ttest on difference in means (two sided)"
"51.dependent.var2","Elderly 65+ years: (female)","Displacement_status",NA,"returnee",0.0248014407421601,NA,0.015463342736132,0.0341395387481882,NA,NA,0.0430453111855707,"two sample ttest on difference in means (two sided)"
"53.1","Is your household currently hosting any individuals that have been displaced from another baladiya?",NA,"No","NA",0.960620976902688,NA,0.953201818738185,0.968040135067191,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"53.2","Is your household currently hosting any individuals that have been displaced from another baladiya?",NA,"Yes","NA",0.0393790230973116,NA,0.0319598649328087,0.0467981812618146,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"55.1","Is your household currently hosting any individuals that have been displaced from another baladiya?","Displacement_status","No","idp",0.964125560538117,NA,0.951918607847896,0.976332513228337,NA,NA,0.0898824663350499,"Pearson's X^2: Rao & Scott adjustment"
"55.2","Is your household currently hosting any individuals that have been displaced from another baladiya?","Displacement_status","No","non_displaced",0.96551724137931,NA,0.955143858243348,0.975890624515273,NA,NA,0.0898824663350499,"Pearson's X^2: Rao & Scott adjustment"
"55.3","Is your household currently hosting any individuals that have been displaced from another baladiya?","Displacement_status","No","returnee",0.944642857142857,NA,0.925699498977895,0.963586215307819,NA,NA,0.0898824663350499,"Pearson's X^2: Rao & Scott adjustment"
"55.4","Is your household currently hosting any individuals that have been displaced from another baladiya?","Displacement_status","Yes","idp",0.0358744394618834,NA,0.0236674867716631,0.0480813921521038,NA,NA,0.0898824663350499,"Pearson's X^2: Rao & Scott adjustment"
"55.5","Is your household currently hosting any individuals that have been displaced from another baladiya?","Displacement_status","Yes","non_displaced",0.0344827586206897,NA,0.0241093754847274,0.0448561417566519,NA,NA,0.0898824663350499,"Pearson's X^2: Rao & Scott adjustment"
"55.6","Is your household currently hosting any individuals that have been displaced from another baladiya?","Displacement_status","Yes","returnee",0.0553571428571429,NA,0.0364137846921811,0.0743005010221046,NA,NA,0.0898824663350499,"Pearson's X^2: Rao & Scott adjustment"
"57","How many? ","na","NA","NA",4.41501115493121,NA,3.49782229549166,5.33220001437076,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"59.dependent.var","How many? ","Displacement_status",NA,"idp",3.20229225581472,NA,2.76142399878697,3.64316051284247,NA,NA,0.131930099005977,"two sample ttest on difference in means (two sided)"
"59.dependent.var1","How many? ","Displacement_status",NA,"non_displaced",4.50641756685616,NA,3.44086088742316,5.57197424628915,NA,NA,0.131930099005977,"two sample ttest on difference in means (two sided)"
"59.dependent.var2","How many? ","Displacement_status",NA,"returnee",4.49515507817555,NA,3.69722844086977,5.29308171548132,NA,NA,0.131930099005977,"two sample ttest on difference in means (two sided)"
"61.dependent.var","What are the top three sources from which your household typically acquires food?",NA,"1. Own production","NA",0.0870847914397449,NA,0.0660511606245866,0.108118422254903,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var1","What are the top three sources from which your household typically acquires food?",NA,"2. Received as food aid through government, UN, NGOs, civil society, etc.","NA",0.0377708843845976,NA,0.0262716611135376,0.0492701076556577,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var2","What are the top three sources from which your household typically acquires food?",NA,"3. Received as gift from friends or relatives","NA",0.0208499074524131,NA,0.0106730181170625,0.0310267967877636,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var3","What are the top three sources from which your household typically acquires food?",NA,"4. Market (purchased with cash) ","NA",0.887459781499491,NA,0.849417222797851,0.92550234020113,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var4","What are the top three sources from which your household typically acquires food?",NA,"5. Market (purchased on credit)","NA",0.200622258827793,NA,0.172749882853444,0.228494634802142,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var5","What are the top three sources from which your household typically acquires food?",NA,"6. Market (purchased with cheque)","NA",0.53005866362288,NA,0.488204662735583,0.571912664510178,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var6","What are the top three sources from which your household typically acquires food?",NA,"7. Work or barter for food","NA",0.0867442685979646,NA,0.0496269972236046,0.123861539972325,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var7","What are the top three sources from which your household typically acquires food?",NA,"8. Gathering, hunting, or fishing","NA",0.0132676041182067,NA,0,0.0278245822665537,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var8","What are the top three sources from which your household typically acquires food?",NA,"9. Borrowing food from relatives, hosts, or external parties","NA",0.00605858062989636,NA,0.000124891074577229,0.0119922701852155,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var9","What are the top three sources from which your household typically acquires food?",NA,"10. Zakat","NA",0.00831756535226729,NA,0.00392744793672913,0.0127076827678055,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var10","What are the top three sources from which your household typically acquires food?",NA,"Other (specify)","NA",0.00464150940452742,NA,0.00103402459148892,0.00824899421756593,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var11","What are the top three sources from which your household typically acquires food?",NA,"Don't know","NA",0.00078424854007259,NA,0,0.00220379917099109,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"61.dependent.var12","What are the top three sources from which your household typically acquires food?",NA,"Prefer not to answer","NA",0.0015952678328669,NA,0,0.00360360547169182,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"63.1","What are the top three sources from which your household typically acquires food?","Displacement_status","1. Own production","idp",0.0463748584711384,NA,0.016107219276499,0.0766424976657779,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.2","What are the top three sources from which your household typically acquires food?","Displacement_status","1. Own production","non_displaced",0.0898317116560901,NA,0.0672069942941431,0.112456429018037,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.3","What are the top three sources from which your household typically acquires food?","Displacement_status","1. Own production","returnee",0.0798934111211525,NA,0,0.16800818854102,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.4","What are the top three sources from which your household typically acquires food?","Displacement_status","2. Received as food aid through government, UN, NGOs, civil society, etc.","idp",0.1102913254916,NA,0.0827766061224547,0.137806044860746,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.5","What are the top three sources from which your household typically acquires food?","Displacement_status","2. Received as food aid through government, UN, NGOs, civil society, etc.","non_displaced",0.0347732977457064,NA,0.0219496151511908,0.047596980340222,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.6","What are the top three sources from which your household typically acquires food?","Displacement_status","2. Received as food aid through government, UN, NGOs, civil society, etc.","returnee",0.0292309905784628,NA,0.00270584977652464,0.055756131380401,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.7","What are the top three sources from which your household typically acquires food?","Displacement_status","3. Received as gift from friends or relatives","idp",0.0392110100015775,NA,0.0137200887612576,0.0647019312418975,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.8","What are the top three sources from which your household typically acquires food?","Displacement_status","3. Received as gift from friends or relatives","non_displaced",0.0213720135578104,NA,0.00984522704239961,0.0328988000732211,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.9","What are the top three sources from which your household typically acquires food?","Displacement_status","3. Received as gift from friends or relatives","returnee",0.00426019261763183,NA,0.000258626370449714,0.00826175886481395,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.10","What are the top three sources from which your household typically acquires food?","Displacement_status","4. Market (purchased with cash) ","idp",0.823754864065382,NA,0.779670148123408,0.867839580007356,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.11","What are the top three sources from which your household typically acquires food?","Displacement_status","4. Market (purchased with cash) ","non_displaced",0.886933953652287,NA,0.844316419920656,0.929551487383918,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.12","What are the top three sources from which your household typically acquires food?","Displacement_status","4. Market (purchased with cash) ","returnee",0.930539429560436,NA,0.842374091243939,1,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.13","What are the top three sources from which your household typically acquires food?","Displacement_status","5. Market (purchased on credit)","idp",0.270447766000569,NA,0.236646311760911,0.304249220240227,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.14","What are the top three sources from which your household typically acquires food?","Displacement_status","5. Market (purchased on credit)","non_displaced",0.186484800345027,NA,0.155915037929951,0.217054562760103,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.15","What are the top three sources from which your household typically acquires food?","Displacement_status","5. Market (purchased on credit)","returnee",0.319114515440531,NA,0.22283933129785,0.415389699583211,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.16","What are the top three sources from which your household typically acquires food?","Displacement_status","6. Market (purchased with cheque)","idp",0.540080213056726,NA,0.501149005920787,0.579011420192664,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.17","What are the top three sources from which your household typically acquires food?","Displacement_status","6. Market (purchased with cheque)","non_displaced",0.51472343123802,NA,0.467973369319864,0.561473493156177,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.18","What are the top three sources from which your household typically acquires food?","Displacement_status","6. Market (purchased with cheque)","returnee",0.696922865683301,NA,0.59050955372249,0.803336177644111,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.19","What are the top three sources from which your household typically acquires food?","Displacement_status","7. Work or barter for food","idp",0.131443015454687,NA,0.0920858877154043,0.170800143193969,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.20","What are the top three sources from which your household typically acquires food?","Displacement_status","7. Work or barter for food","non_displaced",0.0921241678554639,NA,0.0498379612138932,0.134410374497035,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.21","What are the top three sources from which your household typically acquires food?","Displacement_status","7. Work or barter for food","returnee",8.26202938294067e-05,NA,0,0.00024455309412716,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.22","What are the top three sources from which your household typically acquires food?","Displacement_status","8. Gathering, hunting, or fishing","idp",0.00644659600721899,NA,0,0.0133576379387696,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.23","What are the top three sources from which your household typically acquires food?","Displacement_status","8. Gathering, hunting, or fishing","non_displaced",0.0144752486228096,NA,0,0.0310701661549686,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.24","What are the top three sources from which your household typically acquires food?","Displacement_status","8. Gathering, hunting, or fishing","returnee",0.0036453235262712,NA,0,0.00807355785973915,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.25","What are the top three sources from which your household typically acquires food?","Displacement_status","9. Borrowing food from relatives, hosts, or external parties","idp",0.00912203806741346,NA,0.00187872167114145,0.0163653544636855,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.26","What are the top three sources from which your household typically acquires food?","Displacement_status","9. Borrowing food from relatives, hosts, or external parties","non_displaced",0.00586800237919049,NA,0,0.0126135123970515,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.27","What are the top three sources from which your household typically acquires food?","Displacement_status","9. Borrowing food from relatives, hosts, or external parties","returnee",0.00641807936770141,NA,0.00189455934635559,0.0109415993890472,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.28","What are the top three sources from which your household typically acquires food?","Displacement_status","10. Zakat","idp",0.0153701687058101,NA,0.0065095691172456,0.0242307682943745,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.29","What are the top three sources from which your household typically acquires food?","Displacement_status","10. Zakat","non_displaced",0.0086767942144968,NA,0.0036906071821459,0.0136629812468477,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.30","What are the top three sources from which your household typically acquires food?","Displacement_status","10. Zakat","returnee",0.000158209073290353,NA,0,0.000358367489915225,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.31","What are the top three sources from which your household typically acquires food?","Displacement_status","Other (specify)","idp",0.00108877333361885,NA,0,0.00258966074913937,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.32","What are the top three sources from which your household typically acquires food?","Displacement_status","Other (specify)","non_displaced",0.00523763603445591,NA,0.00112373658131732,0.00935153548759449,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.33","What are the top three sources from which your household typically acquires food?","Displacement_status","Other (specify)","returnee",0,NA,0,0,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.34","What are the top three sources from which your household typically acquires food?","Displacement_status","Don't know","idp",0,NA,0,0,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.35","What are the top three sources from which your household typically acquires food?","Displacement_status","Don't know","non_displaced",0.00082299337033414,NA,0,0.00243603073570428,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.36","What are the top three sources from which your household typically acquires food?","Displacement_status","Don't know","returnee",0.0008053281300127,NA,0,0.00238374226057458,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.37","What are the top three sources from which your household typically acquires food?","Displacement_status","Prefer not to answer","idp",0.00335096403788341,NA,0,0.00918050443076438,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.38","What are the top three sources from which your household typically acquires food?","Displacement_status","Prefer not to answer","non_displaced",0.00164598674066828,NA,0,0.00391667782305825,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"63.39","What are the top three sources from which your household typically acquires food?","Displacement_status","Prefer not to answer","returnee",0,NA,0,0,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"65.dependent.var","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?",NA,"1. Yes, crop production","NA",0.0879068046444704,NA,0.0723779131747351,0.103435696114206,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"65.dependent.var1","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?",NA,"2. Yes, livestock production","NA",0.143114476195984,NA,0.118283293130752,0.167945659261216,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"65.dependent.var2","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?",NA,"3. Yes, fishing/fisheries","NA",0.0358814720357632,NA,0.0187601137107479,0.0530028303607784,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"65.dependent.var3","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?",NA,"No","NA",0.793046805191665,NA,0.762314270984931,0.823779339398399,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"67.1","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","1. Yes, crop production","idp",0.0287535981633377,NA,0.00848868564651038,0.0490185106801649,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.2","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","1. Yes, crop production","non_displaced",0.0934101881373576,NA,0.0774911307162446,0.109329245558471,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.3","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","1. Yes, crop production","returnee",0.0604289304475226,NA,0,0.147079909496188,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.4","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","2. Yes, livestock production","idp",0.0817023962497718,NA,0.0485747332426478,0.114830059256896,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.5","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","2. Yes, livestock production","non_displaced",0.155777832876377,NA,0.127520340992711,0.184035324760043,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.6","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","2. Yes, livestock production","returnee",0.0363165925731878,NA,0.0268479590073121,0.0457852261390636,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.7","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","3. Yes, fishing/fisheries","idp",0.0135635417749852,NA,0,0.0317017126231845,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.8","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","3. Yes, fishing/fisheries","non_displaced",0.0368010768408754,NA,0.0174465827075075,0.0561555709742433,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
"67.9","Does your household engage in some form of agricultural production (crop farming, gardening, livestock production, raising animals, fishing, etc.) for income generation or for food consumption?","Displacement_status","3. Yes, fishing/fisheries","returnee",0.0385421755491447,NA,0.011240958411926,0.0658433926863635,NA,NA,NA,"Pearson's X^2: Rao & Scott adjustment"
